"product_id","sku","brand","source_vendor","name","image_url","http_status","content_type"
"10913","23130321","MEMPHIS SHADES","PU","Memphis Slim Windshield - 17"" - 9"" Headlight Cutout - Night ShadesBlack Smoke","http://asset.lemansnet.com/z/LzUvMC9ELzUwRDBGMUNELUNCNEEtNDJBMi04MUYyLUZGOEVFNUQ0QTVDMA==","200","application/x-zip"
"13244","09345962","COMETIC","PU","Primary Cover Gasket - '17-'24 M8 Touring","http://asset.lemansnet.com/z/LzYvMC9GLzYwRjVFQzlGLTgzMjEtNDdGQS1BQUNFLUJGREU4MDYyMjZCRA==","200","application/x-zip"
"25335","DS72072","S&S Cycle","PU","Main Jets - .072"" - 5-Pack","http://asset.lemansnet.com/z/L0MvNC9CL0M0QjU1MzMyLTI4QTYtNDkwOC04RTc2LTczQ0M4QTdDQUEyMQ==","200","application/x-zip"
"29417","24010571","DRAG SPECIALTIES","PU","Bolt Kit - Primary Cover - Smooth - Black/Chrome - '07-'16 Touring","http://asset.lemansnet.com/z/LzAvQS9CLzBBQjM4MEYwLTJBN0UtNEYyQS05RjQ1LUM0MTZFQzk3MDgzOCwvRi8yL0QvRjJEMTM2QUUtNkI3Qi00RjlFLTk5OTUtMjc1MTk0MkEyMUI1","200","application/x-zip"
"25","02141978","DRAG SPECIALTIES","PU","Axle Nut Retainers - Rear - Chrome - 10 Pack - '02-'13 Touring","http://asset.lemansnet.com/z/LzMvRC9BLzNEQTc5MUM3LTJENjItNDYyQy04NjMxLUQwMTRENTZEMDdGRg==","200","application/x-zip"
"26543","06523002","Barnett","PU","High-Efficiency Stealth Clutch Cable - +8"" - '21-'24 Touring/Trike","http://asset.lemansnet.com/z/LzgvQy81LzhDNUIyODhELUIzQUYtNEIyRS05OTA4LTE2MzZGRjgzRTk4NA==","200","application/x-zip"
"8947","04140451","Progressive Suspension","PU","Monotube Cartridge Fork Kit - 39 mm - Standard","http://asset.lemansnet.com/z/L0YvQS81L0ZBNTMxODVGLTI0QzQtNDI0Qy1CRDhCLUU5RDdGQTk4NjM3NA==","200","application/x-zip"
"24452","DS172055","COMETIC","PU","Cylinder Base Copper Gasket - .016"" - EVO","http://asset.lemansnet.com/z/LzcvNi80Lzc2NDc1QkExLUYzRkYtNDQzQi1CMTJCLTQ3RTYzQUFBMjY3OQ==","200","application/x-zip"
"25489","KM545","Mikuni","PU","Pilot Jets - #45 - 4-Pack","http://asset.lemansnet.com/z/LzAvQy9ELzBDRDYyNkMwLTYzMzEtNDFFOS1CNkQ1LTQ5M0JBMTQ5REM5Qw==","200","application/x-zip"
"35009","16030146","Pingel","PU","Shift Peg Extender - Harley","http://asset.lemansnet.com/z/L0QvMi9EL0QyRDFDQ0VBLUNGMTAtNDFBOS05QjVGLTlCNTM1M0RFRDk4MA==","200","application/x-zip"
