sku,fitment_details,oem_numbers,fitment_status,error
DS-194249,1989 Harley-Davidson FLTCU Tour Glide Ultra Classic	-	-; 1989 Harley-Davidson FLHTCU Electra Glide Ultra Classic	-	-; 1989 Harley-Davidson Low Rider FXRS	-	-; 1988-1989 Harley-Davidson FLSTC Heritage Softail Classic	-	-; 1988-1989 Harley-Davidson FXRS-SP Low Rider Sport	-	-; 1988-1989 Harley-Davidson FXSTS Springer Softail	-	-; 1987-1989 Harley-Davidson FXLR Low Rider Custom	-	-; 1987 Harley-Davidson Softail Heritage Classic FLSTC	-	-; 1986-1989 Harley-Davidson FLST Heritage Softail	-	-; 1986-1989 Harley-Davidson FXSTC Softail Custom	-	-; 1986-1987 Harley-Davidson FLHT Electra Glide Standard	-	-; 1986 Harley-Davidson FXRD Sport Glide Grand Touring	-	-; 1984-1989 Harley-Davidson FXST Softail Standard	-	-; 1984-1988 Harley-Davidson FXRS Low Glide	-	-; 1984 Harley-Davidson FLHX Electra Glide Special	-	-; 1984 Harley-Davidson FXRDG Disc Glide	-	-; 1983-1989 Harley-Davidson FLHTC Electra Glide Classic	-	-; 1983-1989 Harley-Davidson FXRT Sport Glide	-	-; 1983-1985 Harley-Davidson FXSB Low Rider - Belt	-	-; 1983 Harley-Davidson FXDG Disc Glide	-	-; 1982-1983 Harley-Davidson Super Glide II FXRS	-	-; 1981-1989 Harley-Davidson FLTC Tour Glide Classic	-	-; 1981-1982 Harley-Davidson Electra Glide Classic FLH	-	-; 1981 Harley-Davidson Electra Glide Heritage FLH	-	-; 1980-1984 Harley-Davidson FXWG Wide Glide	-	-; 1980-1983 Harley-Davidson FLT Tour Glide	-	-; 1980-1982 Harley-Davidson FXB Sturgis	-	-; 1980 Harley-Davidson Tour Glide Classic FLTC	-	-; 1979-1980 Harley-Davidson Fat Bob FXEF	-	-; 1979-1980 Harley-Davidson 1200 Fat Bob FXEF	-	-; 1979-1980 Harley-Davidson 1200 Super Glide FXE	-	-; 1979-1980 Harley-Davidson Super Glide 80 FXE	-	-; 1979 Harley-Davidson 1200 Low Rider FXS	-	-; 1979 Harley-Davidson Low Rider FXS	-	-; 1979 Harley-Davidson Electra Glide FLH	-	-; 1978-1980 Harley-Davidson 1200 Electra Glide FLH	-	-; 1977-1980 Harley-Davidson Electra Glide FL; 1977-1978 Harley-Davidson FX Super Glide,2404478,found,
17020062,,17020062; 1702-0062; 2026-2027; 1560,no_fitment,
18610541,,18610541; 1861-0541; 9044; 2026-2027; 1200,no_fitment,
DS199555,2004 Harley-Davidson FLHRS Road King Custom	-	-; 2004 Harley-Davidson FXDLI Dyna Low Rider	-	-; 2004 Harley-Davidson FXDI Dyna Super Glide	-	-; 2004 Harley-Davidson FXDWGI Dyna Wide Glide	-	-; 2004 Harley-Davidson FLHRSI Road King Custom	-	-; 2004 Harley-Davidson FXDXI Dyna Super Glide Sport	-	-; 2003-2004 Harley-Davidson FLHTI Electra Glide Standard	-	-; 2002-2004 Harley-Davidson FLSTFI Fat Boy	-	-; 2001-2004 Harley-Davidson FXSTDI Softail Deuce	-	-; 2001-2004 Harley-Davidson FXSTSI Springer Softail	-	-; 2001-2004 Harley-Davidson FLSTCI Heritage Softail Classic	-	-; 2001-2004 Harley-Davidson FXSTBI Night Train	-	-; 2001-2004 Harley-Davidson FXSTI Softail Standard	-	-; 2001-2003 Harley-Davidson FLSTSI Heritage Springer	-	-; 2001-2003 Harley-Davidson FXDXT Dyna Super Glide T-Sport	-	-; 2000-2004 Harley-Davidson FXSTD Softail Deuce	-	-; 2000 Harley-Davidson FXR4	-	-; 1999-2004 Harley-Davidson FXDX Dyna Super Glide Sport	-	-; 1999-2004 Harley-Davidson FXSTB Night Train	-	-; 1999-2003 Harley-Davidson Sportster 1200 XLH	-	-; 1999 Harley-Davidson FXR2	-	-; 1999 Harley-Davidson FXR3	-	-; 1998-2004 Harley-Davidson FLHRCI Road King Classic	-	-; 1998-2004 Harley-Davidson FLTRI Road Glide	-	-; 1998-2002 Harley-Davidson FLTR Road Glide	-	-; 1998-1999 Harley-Davidson Road King EFI FLHR	-	-; 1998-1999 Harley-Davidson Electra Glide Ultra Classic FLHTCU	-	-; 1997-2003 Harley-Davidson FLSTS Heritage Springer	-	-; 1996-2004 Harley-Davidson FLHTCI Electra Glide Classic	-	-; 1996-2003 Harley-Davidson XL1200S Sportster 1200 Sport	-	-; 1996-2003 Harley-Davidson XL1200C Sportster 1200 Custom	-	-; 1996 Harley-Davidson FLTCUI Tour Glide Ultra Classic	-	-; 1996 Harley-Davidson Tour Glide Ultra Classic FLTCU	-	-; 1995-2004 Harley-Davidson FLHTCUI Electra Glide Ultra Classic	-	-; 1995-2004 Harley-Davidson FXD Dyna Super Glide	-	-; 1995-2000 Harley-Davidson FXDS-Conv Dyna Convertible	-	-; 1995-1997 Harley-Davidson FXSTSB Bad Boy	-	-; 1995 Harley-Davidson Electra Glide Classic EFI FLHTCI	-	-; 1994-2004 Harley-Davidson FLHR Road King	-	-; 1994-1996 Harley-Davidson FLSTN Heritage Softail Special	-	-; 1994 Harley-Davidson Tour Glide Classic FLTC	-	-; 1993-2004 Harley-Davidson FXDL Dyna Low Rider	-	-; 1993-2004 Harley-Davidson FXDWG Dyna Wide Glide	-	-; 1993 Harley-Davidson Sport Glide FXRT	-	-; 1993 Harley-Davidson FLSTN Heritage Softail Nostalgia	-	-; 1992 Harley-Davidson FXDC Super Glide Custom	-	-; 1990-2004 Harley-Davidson FLSTF Fat Boy	-	-; 1990-1993 Harley-Davidson FXRS-Conv Low Rider Sport Convertible	-	-; 1989-1997 Harley-Davidson FLHTCU Electra Glide Ultra Classic	-	-; 1989-1995 Harley-Davidson FLTCU Tour Glide Ultra Classic	-	-; 1988-2004 Harley-Davidson FLSTC Heritage Softail Classic	-	-; 1988-2004 Harley-Davidson FXSTS Springer Softail	-	-; 1988-1998 Harley-Davidson XLH1200	-	-; 1988-1993 Harley-Davidson FXRS-SP Low Rider Sport	-	-; 1987-1994 Harley-Davidson FXLR Low Rider Custom	-	-; 1987-1993 Harley-Davidson FLHS Electra Glide Sport	-	-; 1987 Harley-Davidson Softail Heritage Classic FLSTC	-	-; 1986-1999 Harley-Davidson FXSTC Softail Custom	-	-; 1986-1995 Harley-Davidson XLH883DLX Sportster 883 Deluxe	-	-; 1986-1994 Harley-Davidson FXR Super Glide II	-	-; 1986-1990 Harley-Davidson FLST Heritage Softail	-	-; 1986-1987 Harley-Davidson XLH1100	-	-; 1986 Harley-Davidson FXRD Sport Glide Grand Touring	-	-; 1985-1986 Harley-Davidson FXWG Wide Glide	-	-; 1985 Harley-Davidson FXEF Fat Bob	-	-; 1985 Harley-Davidson FXSB Low Rider - Belt	-	-; 1985 Harley-Davidson Electra Glide Standard FLHT	-	-; 1984-2004 Harley-Davidson FLHTC Electra Glide Classic	-	-; 1984-1993 Harley-Davidson FLTC Tour Glide Classic	-	-; 1984-1993 Harley-Davidson FXST Softail Standard	-	-; 1984-1992 Harley-Davidson FXRT Sport Glide	-	-; 1984 Harley-Davidson FXRDG Disc Glide	-	-,199555; 1370; 2026-2027; 2003-2004; 2002-2004; 2001-2004; 2001-2003; 2000-2004; 1999-2004; 1999-2003; 1200; 1998-2004; 1998-2002; 1998-1999; 1997-2003; 1996-2004; 1996-2003; 1996-1997; 1995-2004; 1995-2000; 1995-1997; 1994-2004; 1994-1996; 1993-2004; 1990-2004; 1990-1993; 1989-1997; 1989-1995; 1989-1990; 1988-2004; 1988-1998; 1988-1993; 1987-1998; 2002-2003; 1987-1994; 1987-1993; 1989-2003; 1986-1999; 1986-1995; 1986-1994; 1986-1990; 1986-1987; 1999-2001; 1985-1986; 1984-2004; 1984-1993; 1984-1992; 1984-1985; 1987-1988; 1991-1992,found,
10103303,2025 Harley Davidson FLHXU Street Glide Ultra; 2025 Harley Davidson Road Glide Custom FLTRX; 2025 Harley Davidson Street Glide EFI FLHX; 2024-2025 Harley Davidson FLTRXSTSE CVO Road Glide ST; 2024-2025 Harley Davidson FLHX Street Glide; 2024-2025 Harley Davidson FLTRX Road Glide; 2023-2025 Harley Davidson FLHXSE CVO Street Glide; 2023-2025 Harley Davidson FLTRXSE CVO Road Glide,1010-3303; 2026-2027; 2024-2025; 2023-2025,found,
DS190006,,190006; 2026-2027,no_fitment,
23300296,2006 Harley Davidson FLSTI Heritage Softail; 2001-2006 Harley Davidson FLSTFI Fat Boy; 1990-2017 Harley Davidson FLSTF Fat Boy,2330-0296; 2026-2027; 2001-2006; 1990-2017; 1986-1990,found,
14100049,2011-2013 Harley Davidson FLTRX Road Glide Custom; 2011-2013 Harley Davidson FLTRU Road Glide Ultra; 2010-2014 Harley Davidson FLHTK Electra Glide Ultra Limited; 2010-2011 Harley Davidson FLHXXX Street Glide Trike; 2009-2014 Harley Davidson FLHTCUTG Tri Glide Ultra; 2006-2014 Harley Davidson FLHX Street Glide; 2006 Harley Davidson FLHXI Street Glide; 2004-2007 Harley Davidson FLHRS Road King Custom; 2004-2006 Harley Davidson FLHRSI Road King Custom; 2003-2006 Harley Davidson FLHTI Electra Glide Standard; 1998-2006 Harley Davidson FLHRCI Road King Classic; 1998-2006 Harley Davidson FLTRI Road Glide; 1998-1999 Harley Davidson Road King EFI FLHR; 1998-1999 Harley Davidson Electra Glide Ultra Classic FLHTCU; 1996-2006 Harley Davidson FLHTCI Electra Glide Classic; 1996 Harley Davidson FLTCUI Tour Glide Ultra Classic; 1996 Harley Davidson Tour Glide Ultra Classic FLTCU; 1995 Harley Davidson Electra Glide Classic EFI FLHTCI; 1994-2014 Harley Davidson FLHR Road King; 1994 Harley Davidson Tour Glide Classic FLTC; 1989-1995 Harley Davidson FLTCU Tour Glide Ultra Classic; 1987-1993 Harley Davidson FLHS Electra Glide Sport,1410-0049; 2026-2027; 2011-2013; 2010-2014; 2010-2011; 2009-2014; 2006-2014; 2004-2007; 2004-2006; 2003-2006; 1998-2006; 1998-2002; 2007-2010; 1998-1999; 1996-2006; 1996-1997; 2000-2001; 1994-2014; 1989-1997; 2007-2014; 1989-1995; 1987-1993; 1986-2005; 2007-2013; 1986-1987; 1995-2009; 1986-1993,found,
23100533,2022-2023 Harley Davidson FLHXST Street Glide ST; 2019-2022 Harley Davidson FLHT Electra Glide Standard; 2015-2023 Harley Davidson FLHTK Ultra Limited; 2015-2022 Harley Davidson FLHXSE CVO Street Glide; 2015-2019 Harley Davidson FLHTKL Ultra Limited Low; 2015-2016 Harley Davidson FLHTCUL Electra Glide Ultra Classic Low; 2014-2025 Harley Davidson FLHTCUTG Tri Glide Ultra; 2014-2023 Harley Davidson FLHX Street Glide; 2014-2023 Harley Davidson FLHXS Street Glide Special; 2014-2021 Harley Davidson FLHTKSE CVO Limited; 2014-2020 Harley Davidson Electra Glide Police FLHTPI; 2014-2019 Harley Davidson FLHTCU Electra Glide Ultra Classic; 2014 Harley Davidson FLHTK Electra Glide Ultra Limited,2310-0533; 2026-2027; 2022-2023; 2019-2022; 2015-2023; 2015-2022; 2015-2019; 2015-2016; 2014-2025; 2014-2023; 2014-2021; 2014-2020; 2014-2019,found,
2310-0567,2024-2025 Harley Davidson Road Glide Police FLTRXP; 2023-2025 Harley Davidson FLTRT Road Glide 3; 2022-2023 Harley Davidson FLTRXST Road Glide ST; 2022 Harley Davidson FLTRKSE CVO Road Glide Limited; 2020-2024 Harley Davidson FLTRK Road Glide Limited; 2018-2022 Harley Davidson FLTRXSE CVO Road Glide; 2016-2019 Harley Davidson FLTRU Road Glide Ultra; 2015-2023 Harley Davidson FLTRX Road Glide; 2015-2023 Harley Davidson FLTRXS Road Glide Special; 2015-2016 Harley Davidson FLTRUSE CVO Road Glide Ultra,2310-0567; 01-0314; 2026-2027; 2024-2025; 2023-2025; 2022-2023; 2020-2024; 2018-2022; 2016-2019; 2015-2023; 2015-2016,found,
