source_vendor,sku,vendor_sku,brand,name,display_category,display_subcategory,msrp,in_stock
PU,19020030,19020030,MOOSE OFFROAD,PROTECTOR HOSE SS-38MM,Accessories & Misc,Cooling Systems,15.95,t
PU,19020031,19020031,MOOSE OFFROAD,PROTECTOR HOSE SS-25MM,Accessories & Misc,Cooling Systems,15.95,t
PU,19020032,19020032,MOOSE OFFROAD,PROTECTOR HOSE SS-11MM,Accessories & Misc,Cooling Systems,14.95,t
PU,19020033,19020033,MOOSE OFFROAD,PROTECTOR HOSE SS-9MM,Accessories & Misc,Cooling Systems,14.95,t
PU,35500025,35500025,POWERTYE MFG.,CARGO NET ADJ. BLACK,Accessories & Misc,Tie-Downs & Transport,10.95,t
PU,35500026,35500026,POWERTYE MFG.,CARGO NET ADJ. RED,Accessories & Misc,Tie-Downs & Transport,10.95,t
PU,35500027,35500027,POWERTYE MFG.,CARGO NET ADJ. BLUE,Accessories & Misc,Tie-Downs & Transport,10.95,t
PU,39200119,39200119,POWERTYE MFG.,"NET CARGO ADJ BK 15""X30""",Accessories & Misc,Tie-Downs & Transport,18.95,t
PU,39200369,39200369,POWERTYE MFG.,"NET CARGO ADJ BK 24""X36""",Accessories & Misc,Tie-Downs & Transport,33.95,t
PU,39200375,39200375,POWERTYE MFG.,"CARGO NET ORANGE 15""X15""",Accessories & Misc,Tie-Downs & Transport,10.95,t
PU,39200376,39200376,POWERTYE MFG.,"CARGO NET ORANGE 15""X30""",Accessories & Misc,Tie-Downs & Transport,18.95,t
PU,39200432,39200432,ERICKSON,"CARGO NET BLK 28"" X 28""",Accessories & Misc,Tie-Downs & Transport,12.95,t
PU,39200433,39200433,ERICKSON,"CARGO NET BLK 15"" X 30""",Accessories & Misc,Tie-Downs & Transport,9.95,t
PU,43201453,43201453,RSD,BADGE RSD CC W/LOGO,Accessories & Misc,Decals & Emblems,13.95,t
PU,92010074,92010074,SLYFOX,Slyfox Pit Pad - Black,Accessories & Misc,,116.95,t
PU,92010090,92010090,SP CONNECT,SPC+ Arm Band - Black,Accessories & Misc,,29.99,t
PU,92010095,92010095,SP CONNECT,Phone Clip Mount - Black - SPC+,Accessories & Misc,,19.99,t
PU,99013239,99013239,CATALOGS,UNLIMITED FRED FOX STORY,Accessories & Misc,,75.00,t
PU,99030476,99030476,DP Brakes,6-Hook Display - Brakes,Accessories & Misc,,86.95,t
PU,99030650,99030650,DRAG SPECIALTIES SEATS,Seat Display Stand,Accessories & Misc,,180.95,t
PU,99030656,99030656,BS BATTERY,DISPLAY BATTERY RACK,Accessories & Misc,,,f
PU,99030775,99030775,DP Brakes,Floor Display - For Harley Davidson® Models,Accessories & Misc,,194.95,f
PU,DIS506,DIS506,NGK SPARK PLUGS,Wire Display Rack,Accessories & Misc,,44.95,t
PU,DS800111,DS800111,TEC COLOR CRAFT,"24""DRAG DOOR/TRUCK STCKER",Accessories & Misc,,14.95,t
PU,DS800115,DS800115,TEC COLOR CRAFT,"3"" DRAG DOOR/TRUCK DECAL",Accessories & Misc,Decals & Emblems,20.95,t
PU,DS800116,DS800116,TEC COLOR CRAFT,"6"" DRAG DOOR/TRUCK DECAL",Accessories & Misc,Decals & Emblems,42.95,t
PU,DS800117,DS800117,TEC COLOR CRAFT,"9"" DRAG DOOR/TRUCK DECAL",Accessories & Misc,Decals & Emblems,27.95,t
PU,12042723,12042723,DRAG SPECIALTIES,"Banjo Bolt - 3/8-24 x 3/4"" Minus Head",Brakes,Brake Lines & Hoses,6.07,t
