norm,product_id_a,product_id_b,sku_a,sku_b,vendor_a,vendor_b
CTX20HBSFT,13701,55060,21130780,WPS-49-3034,PU,WPS
CTX20HLBSFT,13702,55061,21130781,WPS-49-3035,PU,WPS
16201,36885,71022,VT-32-3043,WPS-132-7013,VTWIN,WPS
E250091BD10,13704,90595,21130798,VT-32-1979,PU,VTWIN
E250091BD11,13706,90596,21130799,VT-32-1980,PU,VTWIN
9960,1328,69009,22120798,VT-30-1283,PU,VTWIN
DP3G,58777,90984,WPS-850-08020,VT-32-9618,WPS,VTWIN
DP3G,11279,90984,21200053,VT-32-9618,PU,VTWIN
83440,13745,87822,17310208,VT-23-1787,PU,VTWIN
SOLIDPINS,58760,90967,WPS-850-08002,VT-32-9602,WPS,VTWIN
SOLIDPINS,8500,90967,21200071,VT-32-9602,PU,VTWIN
87159,13760,50623,17310417,WPS-820-50610,PU,WPS
371032,44309,70707,VT-32-1543,WPS-820-50845,VTWIN,WPS
NHCXFX25,34295,71163,VT-32-6699,21201446,VTWIN,PU
7122,77276,96409,VT-10-0427,VT-40-9907,VTWIN,VTWIN
77958,62081,73149,VT-34-0744,VT-15-7958,VTWIN,VTWIN
E250091BD6,13808,90592,21130735,VT-32-1975,PU,VTWIN
E250091BD7,13809,90593,21130736,VT-32-1976,PU,VTWIN
3507X,24089,61038,VT-11-9762,3507X,VTWIN,PU
102009,13843,53447,21020332,WPS-820-60412,PU,WPS
B281256,4236,56042,13102496,WPS-750-05580,PU,WPS
351567,13881,95345,23300268,VT-50-0279,PU,VTWIN
351567,13881,58465,23300268,WPS-820-52354,PU,WPS
351567,58465,95345,VT-50-0279,WPS-820-52354,VTWIN,WPS
24572,92987,95983,VT-73-0041,VT-37-9057,VTWIN,VTWIN
W160331,29956,92689,02140374,VT-37-0999,PU,VTWIN
78287,62124,77477,VT-15-8287,VT-42-0267,VTWIN,VTWIN
H070587B,30042,67329,06100221,VT-26-2113,PU,VTWIN
NM334710302,8480,91013,21200338,VT-32-9697,PU,VTWIN
NM334710302,58864,91013,WPS-850-08305,VT-32-9697,WPS,VTWIN
210035,4576,86894,14011076,VT-18-8328,PU,VTWIN
78113,8347,68478,14050086,VT-29-0206,PU,VTWIN
792103,14108,57615,792103,WPS-279-2103,PU,WPS
31SI,26785,64156,VT-20-0909,11200433,VTWIN,PU
801001,14109,57621,801001,WPS-280-1001,PU,WPS
320459NU,14145,89145,05100270,VT-27-1695,PU,VTWIN
A24032SET,30649,96410,VT-10-0428,DS196135,VTWIN,PU
77401,11692,93976,16010203,VT-42-9913,PU,VTWIN
NM334720601,11261,90996,21200318,VT-32-9677,PU,VTWIN
NM334720601,58887,90996,WPS-850-08311,VT-32-9677,WPS,VTWIN
55129,14197,37520,04070192,WPS-22-55129,PU,WPS
190389,787,93894,VT-42-0927,78050012,VTWIN,PU
GBDU001,8751,57320,17104921,WPS-17-DU001,PU,WPS
305,28663,94161,17420047,VT-43-1050,PU,VTWIN
A1745266,14618,84182,09270009,VT-12-2115,PU,VTWIN
A6466W,14620,84008,09270025,VT-12-1193,PU,VTWIN
55135,27249,37522,WPS-22-55135,06360607,WPS,PU
76581,11167,92842,08030331,VT-38-0789,PU,VTWIN
D26014029,2586,64080,VT-20-0526,12030020,VTWIN,PU
A3150365,14640,86367,21100235,VT-17-1502,PU,VTWIN
A3343850,14641,96481,DS194120,VT-10-0721,PU,VTWIN
A2555136,14642,84094,DS194164,VT-12-1441,PU,VTWIN
A3510036,14647,86498,DS194282,VT-17-9761,PU,VTWIN
A3578936,14663,96488,DS194135,VT-10-0729,PU,VTWIN
300067,21479,31647,06010824,17104712,PU,PU
110065,14770,39043,17416843,WPS-57-10065,PU,WPS
4091,14827,41005,09280025,WPS-811-04091,PU,WPS
4055,14829,41000,09290024,WPS-811-04055,PU,WPS
9962,14853,77709,22120861,VT-42-1104,PU,VTWIN
8040,14862,67776,09250950,VT-27-1067,PU,VTWIN
120041,16674,36805,WPS-12-0041,04120666,WPS,PU
120041,36805,41800,WPS-12-0041,WPS-820-50510,WPS,WPS
120041,36805,71715,WPS-12-0041,VT-33-0310,WPS,VTWIN
120041,7924,16674,07060019,04120666,PU,PU
120041,7924,41800,07060019,WPS-820-50510,PU,WPS
120041,7924,71715,07060019,VT-33-0310,PU,VTWIN
120041,16674,41800,04120666,WPS-820-50510,PU,WPS
120041,16674,71715,04120666,VT-33-0310,PU,VTWIN
120041,41800,71715,WPS-820-50510,VT-33-0310,WPS,VTWIN
2075,14865,40986,09240238,WPS-811-02075,PU,WPS
2075,14865,51489,09240238,WPS-85-02075,PU,WPS
2075,40986,51489,WPS-811-02075,WPS-85-02075,WPS,WPS
C6131T,23770,42584,24010287,WPS-830-1064,PU,WPS
2061,14875,40981,09250535,WPS-811-02061,PU,WPS
2061,14875,77199,09250535,VT-40-1467,PU,VTWIN
2061,40981,77199,WPS-811-02061,VT-40-1467,WPS,VTWIN
2064,14896,40983,09250628,WPS-811-02064,PU,WPS
5468,14909,14992,10103320,19010757,PU,PU
8022,14923,53309,24010993,WPS-56-8022,PU,WPS
GBDU011,14937,57326,17104931,WPS-17-DU011,PU,WPS
86264,942,58650,17310415,WPS-820-32010,PU,WPS
86264,942,87413,17310415,VT-23-0288,PU,VTWIN
86264,58650,87413,WPS-820-32010,VT-23-0288,WPS,VTWIN
87158,13762,50555,17310420,WPS-820-50609,PU,WPS
87158,13762,87830,17310420,VT-23-1827,PU,VTWIN
87158,50555,87830,WPS-820-50609,VT-23-1827,WPS,VTWIN
83117,7134,93474,17310121,VT-39-1130,PU,VTWIN
87717,13766,50625,17310544,WPS-820-50612,PU,WPS
87717,13766,87740,17310544,VT-23-1212,PU,VTWIN
87717,50625,87740,WPS-820-50612,VT-23-1212,WPS,VTWIN
3512537,14988,86065,DS195016,VT-17-0220,PU,VTWIN
323494,9399,46933,WPS-232-3494,03650045,WPS,PU
2402354,15006,83829,DS198839,VT-12-0613,PU,VTWIN
JGI3498604,15052,84799,09350109,VT-14-0995,PU,VTWIN
JGI1863348F,15053,85470,09343432,VT-15-1438,PU,VTWIN
JGI11125XMSF,15055,61790,09341582,VT-15-1281,PU,VTWIN
660411,7117,49373,17410868,WPS-70-660411,PU,WPS
JGI3490107F,15058,85450,09341623,VT-15-1395,PU,VTWIN
4532,2794,68416,17411002,VT-29-0031,PU,VTWIN
JGI1769507,15062,85474,09342099,VT-15-1446,PU,VTWIN
JGI3490194F,15065,61834,09344630,VT-15-1336,PU,VTWIN
3561465,85992,85995,VT-17-0128,VT-17-0125,VTWIN,VTWIN
JGI2541699DL,15073,61786,09350090,VT-15-1277,PU,VTWIN
5521,21593,30972,17411032,10103147,PU,PU
JGI2909595,15079,85085,DS173445,VT-15-0596,PU,VTWIN
JGI1677999X,15084,85415,DS174203,VT-15-1245,PU,VTWIN
JGI1703466,15090,85187,DS173242,VT-15-0823,PU,VTWIN
JGI1863448C,15092,85237,DS173377,VT-15-0927,PU,VTWIN
JGI1863236,15094,85235,DS173454,VT-15-0925,PU,VTWIN
JGI6056790,15095,85149,DS173476,VT-15-0703,PU,VTWIN
JGI3490679A,15096,85150,DS173478,VT-15-0704,PU,VTWIN
JGI6053881C,15098,85219,DS174352,VT-15-0900,PU,VTWIN
JGI6056736,15099,85232,DS174380,VT-15-0920,PU,VTWIN
JGI11124,15103,84647,DS194420,VT-14-0600,PU,VTWIN
JGI6053989X,15104,85220,DS174382,VT-15-0902,PU,VTWIN
NTBWX04,34272,70517,VT-32-1205,21200244,VTWIN,PU
70291,70003,84906,VT-32-3114,VT-15-0176,VTWIN,VTWIN
MCCBR7,38009,90244,WPS-275-01016,VT-32-0460,WPS,VTWIN
204257,15195,60864,09260409,VT-11-6000,PU,VTWIN
204257,15195,57517,09260409,WPS-191-17013,PU,WPS
204257,57517,60864,VT-11-6000,WPS-191-17013,VTWIN,WPS
2022650,15201,60466,09263210,VT-11-2027,PU,VTWIN
2022450,15203,60464,09263314,VT-11-2025,PU,VTWIN
204323,15205,37378,09260762,WPS-191-57040,PU,WPS
204101,15207,83550,09261452,VT-11-6095,PU,VTWIN
2020325,15213,57516,09260195,WPS-191-17012,PU,WPS
2020325,15213,83552,09260195,VT-11-6120,PU,VTWIN
2020325,57516,83552,WPS-191-17012,VT-11-6120,WPS,VTWIN
202024M,15216,60530,09262270,VT-11-2304,PU,VTWIN
202121M,15217,60542,09262302,VT-11-2317,PU,VTWIN
202134M,15218,60550,09262311,VT-11-2325,PU,VTWIN
202123,15219,37404,09260725,WPS-191-57054,PU,WPS
202022C,15220,60032,09260748,VT-11-0968,PU,VTWIN
202022C,15220,37385,09260748,WPS-191-57043C,PU,WPS
202022C,37385,60032,VT-11-0968,WPS-191-57043C,VTWIN,WPS
204324,15221,60074,09260763,VT-11-1023,PU,VTWIN
120402D,8162,72067,09026321,VT-33-1158,PU,VTWIN
2022350,15227,60470,09263208,VT-11-2031,PU,VTWIN
710304,15230,43369,09350458,WPS-191-37022,PU,WPS
710304,15230,84787,09350458,VT-14-0983,PU,VTWIN
710304,43369,84787,WPS-191-37022,VT-14-0983,WPS,VTWIN
2021040,15231,47673,24011105,WPS-191-58018,PU,WPS
2021040,15231,60116,24011105,VT-11-1103,PU,VTWIN
2021040,47673,60116,WPS-191-58018,VT-11-1103,WPS,VTWIN
204320,15233,37334,09260744,WPS-191-57003,PU,WPS
204320,15233,60071,09260744,VT-11-1019,PU,VTWIN
204320,37334,60071,WPS-191-57003,VT-11-1019,WPS,VTWIN
202052M,15238,60554,09262284,VT-11-2328,PU,VTWIN
202060M,15239,60557,09262287,VT-11-2331,PU,VTWIN
2021500,15245,61452,09263001,VT-13-2150,PU,VTWIN
204170,15251,60870,DS198974,VT-11-6009,PU,VTWIN
204170,15251,57507,DS198974,WPS-191-17002,PU,WPS
204170,57507,60870,VT-11-6009,WPS-191-17002,VTWIN,WPS
060177,58251,87428,VT-23-0313,WPS-70-6177,VTWIN,WPS
CC120E,26795,64107,VT-20-0628,11300176,VTWIN,PU
BA080030,15301,54443,22100662,WPS-27-57014,PU,WPS
BA050903,15303,37814,22100403,WPS-27-5795,PU,WPS
BA064921,31922,54446,WPS-28-61048,22100665,WPS,PU
41972,33503,72557,VT-33-2062,11321110,VTWIN,PU
H070595S,17487,67311,06102319,VT-26-1050,PU,VTWIN
A1855536,3408,96444,VT-10-0516,DS193141,VTWIN,PU
PCC133,5449,87006,12040128,VT-20-0478,PU,VTWIN
