id,product_id_a,product_id_b,created_at
8172,4017,90620,2026-07-04T05:04:56.389Z
8173,58949,90620,2026-07-04T05:04:56.427Z
8174,58566,87483,2026-07-04T05:04:56.467Z
8175,19515,61806,2026-07-04T05:04:56.506Z
8176,33542,54010,2026-07-04T05:04:56.546Z
8177,25779,59616,2026-07-04T05:04:56.586Z
8178,63177,66812,2026-07-04T05:04:56.626Z
8179,23017,38027,2026-07-04T05:04:56.665Z
8180,30080,41650,2026-07-04T05:04:56.704Z
8181,31746,60081,2026-07-04T05:04:56.744Z
8182,81188,95789,2026-07-04T05:04:56.784Z
8183,50133,62726,2026-07-04T05:04:56.913Z
8184,67428,75908,2026-07-04T05:04:56.953Z
8185,58481,65576,2026-07-04T05:04:56.993Z
8186,8142,77101,2026-07-04T05:04:57.031Z
8187,61589,90552,2026-07-04T05:04:57.070Z
8188,34596,51754,2026-07-04T05:04:57.108Z
8189,40798,54548,2026-07-04T05:04:57.148Z
8190,45564,72706,2026-07-04T05:04:57.185Z
8191,39115,75968,2026-07-04T05:04:57.224Z
8192,1794,86414,2026-07-04T05:04:57.263Z
8193,48934,62350,2026-07-04T05:04:57.302Z
8194,63962,89699,2026-07-04T05:04:57.340Z
8195,17577,89312,2026-07-04T05:04:57.439Z
8196,41628,66721,2026-07-04T05:04:57.480Z
8197,5034,36800,2026-07-04T05:04:57.520Z
8198,34775,38592,2026-07-04T05:04:57.560Z
8199,36891,50126,2026-07-04T05:04:57.603Z
8200,36914,71035,2026-07-04T05:04:57.643Z
8201,43363,63648,2026-07-04T05:04:57.683Z
8202,1683,96674,2026-07-04T05:04:57.721Z
8203,30639,86548,2026-07-04T05:04:57.761Z
8204,23245,71156,2026-07-04T05:04:57.801Z
8205,49083,71156,2026-07-04T05:04:57.841Z
8206,14239,88794,2026-07-04T05:04:57.963Z
8207,38867,89404,2026-07-04T05:04:58.003Z
8208,80968,89404,2026-07-04T05:04:58.043Z
8209,41822,51789,2026-07-04T05:04:58.083Z
8210,43740,71027,2026-07-04T05:04:58.123Z
8211,36915,71037,2026-07-04T05:04:58.162Z
8212,36935,71285,2026-07-04T05:04:58.200Z
8213,13342,71285,2026-07-04T05:04:58.240Z
8214,34667,81958,2026-07-04T05:04:58.278Z
8215,15222,31697,2026-07-04T05:04:58.318Z
8216,15222,60883,2026-07-04T05:04:58.357Z
8217,31697,60883,2026-07-04T05:04:58.485Z
8218,15223,25260,2026-07-04T05:04:58.525Z
8219,15223,61448,2026-07-04T05:04:58.563Z
8220,25260,61448,2026-07-04T05:04:58.603Z
8221,15241,55592,2026-07-04T05:04:58.643Z
8222,15242,83554,2026-07-04T05:04:58.681Z
8223,15243,55563,2026-07-04T05:04:58.720Z
8224,21374,50621,2026-07-04T05:04:58.760Z
8225,15304,54444,2026-07-04T05:04:58.800Z
8226,23839,92953,2026-07-04T05:04:58.840Z
8227,56022,56023,2026-07-04T05:04:58.881Z
8228,3481,96669,2026-07-04T05:04:59.006Z
8229,12270,59538,2026-07-04T05:04:59.048Z
8230,28175,61826,2026-07-04T05:04:59.089Z
8231,29061,90360,2026-07-04T05:04:59.128Z
8232,12736,59548,2026-07-04T05:04:59.167Z
8233,2206,46084,2026-07-04T05:04:59.207Z
8234,47251,74140,2026-07-04T05:04:59.245Z
8235,11702,74706,2026-07-04T05:04:59.283Z
8236,57612,90904,2026-07-04T05:04:59.323Z
8237,31221,60052,2026-07-04T05:04:59.363Z
8238,37845,79554,2026-07-04T05:04:59.402Z
8239,13568,51167,2026-07-04T05:04:59.533Z
8240,9354,60462,2026-07-04T05:04:59.573Z
8241,9023,39913,2026-07-04T05:04:59.613Z
8242,29330,50222,2026-07-04T05:04:59.653Z
