canonical_product_id,canonical_sku,catalog_unified_id,sku,name,brand_part_number,normalized,source_vendor
91071,CP-091072,276,07060122,Fuel Line - EFI - Dyna/Touring,T02-0090,T020090,PU
91071,CP-091072,91757,VT-35-0739,EFI Fuel Line,0706-0122,07060122,VTWIN
91312,CP-091313,526,09350178,Starter Oil Deflector O-ring - 10 Pack,C9451,C9451,PU
91312,CP-091313,1486,DS173508,Rocker Arm Shaft Upper O-Ring - Oversized - '57-'85 Sportster/'66-'84 Shovelhead,JGI-11101-X,JGI11101X,PU
91312,CP-091313,3612,DS174290,Rocker Arm Shaft Lower and Upper Pushrod O-Ring - '57-'85 Sportster/'66-'84 Shovelhead,JGI-11101,JGI11101,PU
92054,CP-092055,1301,21201425,Female Connector - ECM - Female - 18-Position - Black,NHD-72664-12A,NHD7266412A,PU
92054,CP-092055,58852,WPS-850-08160,18-PIN FML CONN W/TRMNLS ECM HD72664-12 ECM CONN 12-UP FX,NHD-72664-12,NHD7266412,WPS
92196,CP-092197,1457,DS173323,Complete Motor Gasket Kit - '70-'84 Shovelhead,JGI-17029-70-A,JGI1702970A,PU
92196,CP-092197,3587,DS173239,Complete Motor Gasket Kit - 4 Speed - '66-'84 Shovelhead,JGI-17029-70,JGI1702970,PU
92196,CP-092197,85178,VT-15-0803,Engine Gasket Kit,JGI-17029-70-A,JGI1702970A,VTWIN
92196,CP-092197,85179,VT-15-0804,Engine Gasket Kit,JGI-17029-70,JGI1702970,VTWIN
92207,CP-092208,1468,DS173430,Drain Plug/Oil Pump Cap O-Ring - 25 Pack,JGI-11105-X,JGI11105X,PU
92207,CP-092208,1500,DS174334,Drain Plug/Oil Screen Pump Cap O-ring - 25 Pack,JGI-11105,JGI11105,PU
92207,CP-092208,5622,09350186,Drain Plug O-Ring - M8/Big Twin - 10 Pack,C9435,C9435,PU
92207,CP-092208,84577,VT-14-0503,Oil Pump Cap and Drain Plug O-Rings,71235,71235,VTWIN
92224,CP-092225,1485,DS174110,Front/Rear Cylinder Base Gasket - 1000cc - '72-'85 Sportster,JGI-16774-72,JGI1677472,PU
92224,CP-092225,85269,VT-15-0983,James Cylinder Base Gasket,JGI-16774-72,JGI1677472,VTWIN
92224,CP-092225,84856,VT-15-0106,V-Twin Cylinder Base Gaskets,72143,72143,VTWIN
