normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
CTX20HBSFT,multiple_real,2,2,103909|139481,21130780|WPS-49-3034
CTX20HLBSFT,multiple_real,2,2,103910|139482,21130781|WPS-49-3035
16201,multiple_real,2,2,153712|125960,VT-32-3043|WPS-132-7013
E250091BD10,multiple_real,2,2,103912|173285,21130798|VT-32-1979
E250091BD11,multiple_real,2,2,103914|173286,21130799|VT-32-1980
9960,multiple_real,2,2,92074|151699,22120798|VT-30-1283
DP3G,multiple_real,3,2,101585|173674,WPS-850-08020|21200053|VT-32-9618
83440,multiple_real,2,2,103950|170512,17310208|VT-23-1787
SOLIDPINS,multiple_real,3,2,98866|173657,WPS-850-08002|21200071|VT-32-9602
87159,multiple_real,2,2,103965|136607,17310417|WPS-820-50610
371032,multiple_real,2,2,153397|132275,VT-32-1543|WPS-820-50845
NHCXFX25,multiple_real,2,2,153853|123509,VT-32-6699|21201446
7122,multiple_real,2,2,179099|159966,VT-10-0427|VT-40-9907
77958,multiple_real,2,2,155839|144771,VT-34-0744|VT-15-7958
E250091BD6,multiple_real,2,2,104009|173282,21130735|VT-32-1975
E250091BD7,multiple_real,2,2,104010|173283,21130736|VT-32-1976
3507X,multiple_real,2,2,143728|113767,VT-11-9762|3507X
102009,multiple_real,2,2,104044|138443,21020332|WPS-820-60412
B281256,one_real_rest_null,2,1,94798,13102496|WPS-750-05580
351567,multiple_real,3,3,104076|178035|141183,23300268|VT-50-0279|WPS-820-52354
24572,multiple_real,2,2,178673|175677,VT-73-0041|VT-37-9057
W160331,multiple_real,2,2,119276|175379,02140374|VT-37-0999
78287,multiple_real,2,2,144814|160167,VT-15-8287|VT-42-0267
H070587B,multiple_real,2,2,119361|150019,06100221|VT-26-2113
NM334710302,multiple_real,3,2,98846|173703,21200338|WPS-850-08305|VT-32-9697
210035,multiple_real,2,2,95128|169584,14011076|VT-18-8328
78113,multiple_real,2,2,98717|151168,14050086|VT-29-0206
792103,multiple_real,2,2,104273|140375,792103|WPS-279-2103
31SI,multiple_real,2,2,146846|116366,VT-20-0909|11200433
801001,multiple_real,2,2,104274|140381,801001|WPS-280-1001
320459NU,multiple_real,2,2,104307|171835,05100270|VT-27-1695
A24032SET,multiple_real,2,2,179100|119948,VT-10-0428|DS196135
77401,multiple_real,2,2,101988|176666,16010203|VT-42-9913
NM334720601,multiple_real,3,2,101567|173686,21200318|WPS-850-08311|VT-32-9677
55129,multiple_real,2,2,104357|126542,04070192|WPS-22-55129
190389,multiple_real,2,2,176584|91556,VT-42-0927|78050012
GBDU001,one_real_rest_null,2,1,99110,17104921|WPS-17-DU001
305,multiple_real,2,2,118107|176851,17420047|VT-43-1050
A1745266,multiple_real,2,2,104770|166872,09270009|VT-12-2115
A6466W,multiple_real,2,2,104772|166698,09270025|VT-12-1193
