normalized_part_number,vendor_combo,member_count,skus
CTX20HBSFT,PU+WPS,2,21130780|WPS-49-3034
CTX20HLBSFT,PU+WPS,2,21130781|WPS-49-3035
16201,VTWIN+WPS,2,VT-32-3043|WPS-132-7013
E250091BD10,PU+VTWIN,2,21130798|VT-32-1979
E250091BD11,PU+VTWIN,2,21130799|VT-32-1980
9960,PU+VTWIN,2,22120798|VT-30-1283
DP3G,PU+VTWIN+WPS,3,WPS-850-08020|21200053|VT-32-9618
83440,PU+VTWIN,2,17310208|VT-23-1787
SOLIDPINS,PU+VTWIN+WPS,3,WPS-850-08002|21200071|VT-32-9602
87159,PU+WPS,2,17310417|WPS-820-50610
371032,VTWIN+WPS,2,VT-32-1543|WPS-820-50845
NHCXFX25,PU+VTWIN,2,VT-32-6699|21201446
7122,VTWIN,2,VT-10-0427|VT-40-9907
77958,VTWIN,2,VT-34-0744|VT-15-7958
E250091BD6,PU+VTWIN,2,21130735|VT-32-1975
E250091BD7,PU+VTWIN,2,21130736|VT-32-1976
3507X,PU+VTWIN,2,VT-11-9762|3507X
102009,PU+WPS,2,21020332|WPS-820-60412
B281256,PU+WPS,2,13102496|WPS-750-05580
351567,PU+VTWIN+WPS,3,23300268|VT-50-0279|WPS-820-52354
24572,VTWIN,2,VT-73-0041|VT-37-9057
W160331,PU+VTWIN,2,02140374|VT-37-0999
78287,VTWIN,2,VT-15-8287|VT-42-0267
H070587B,PU+VTWIN,2,06100221|VT-26-2113
NM334710302,PU+VTWIN+WPS,3,21200338|WPS-850-08305|VT-32-9697
210035,PU+VTWIN,2,14011076|VT-18-8328
78113,PU+VTWIN,2,14050086|VT-29-0206
792103,PU+WPS,2,792103|WPS-279-2103
31SI,PU+VTWIN,2,VT-20-0909|11200433
801001,PU+WPS,2,801001|WPS-280-1001
320459NU,PU+VTWIN,2,05100270|VT-27-1695
A24032SET,PU+VTWIN,2,VT-10-0428|DS196135
77401,PU+VTWIN,2,16010203|VT-42-9913
NM334720601,PU+VTWIN+WPS,3,21200318|WPS-850-08311|VT-32-9677
55129,PU+WPS,2,04070192|WPS-22-55129
190389,PU+VTWIN,2,VT-42-0927|78050012
GBDU001,PU+WPS,2,17104921|WPS-17-DU001
305,PU+VTWIN,2,17420047|VT-43-1050
A1745266,PU+VTWIN,2,09270009|VT-12-2115
A6466W,PU+VTWIN,2,09270025|VT-12-1193
55135,PU+WPS,2,WPS-22-55135|06360607
76581,PU+VTWIN,2,08030331|VT-38-0789
D26014029,PU+VTWIN,2,VT-20-0526|12030020
A3150365,PU+VTWIN,2,21100235|VT-17-1502
A3343850,PU+VTWIN,2,DS194120|VT-10-0721
A2555136,PU+VTWIN,2,DS194164|VT-12-1441
A3510036,PU+VTWIN,2,DS194282|VT-17-9761
A3578936,PU+VTWIN,2,DS194135|VT-10-0729
300067,PU,2,06010824|17104712
110065,PU+WPS,2,17416843|WPS-57-10065
4091,PU+WPS,2,09280025|WPS-811-04091
