normalized_part_number,catalog_unified_id,sku,name,brand_part_number,source_vendor,canonical_product_id,canonical_sku
B281256,4236,13102496,"Stiletto Shock - 13"" - Black/Red",B28-1256,PU,94798,CP-094799
B281256,56042,WPS-750-05580,"STILETTO SHOCKS 13"" TOURING `95-25 STD WEIGHT",B28-1256,WPS,(none),(none)
GBDU001,8751,17104921,Brake Rotor - Front - Black,GBDU001,PU,99110,CP-099111
GBDU001,57320,WPS-17-DU001,"ROTOR 11.5"" FLOATING WAVE FR BLACK",GBDU001,WPS,(none),(none)
GBDU011,14937,17104931,"Wave® Brake Rotor - Front - 13"" - Narrow Band - Machined Black",GBDU011,PU,105086,CP-105087
GBDU011,57326,WPS-17-DU011,"ROTOR 13"" FLOATING WAVE RADIAL FR BLACK",GBDU011,WPS,(none),(none)
202033C,37356,WPS-191-57020C,GUIDE EX +0.003 CAST IRON HD PAN 48-65 & SHOVEL 66-77,20-2033C,WPS,99660,CP-099661
202033C,9308,09260751,"Valve Guide - Exhaust - 0.5680"" OD - Panhead '48-'65 | Shovelhead '66-'E79",20-2033C,PU,99660,CP-099661
202033C,60040,VT-11-0977,Kibblewhite Cast Iron .003 Exhaust Valve Guide,20-2033C,VTWIN,126385,CP-126386
52742,15712,06360670,Adhesive Mount Pro - Mag-Align,52742,PU,105848,CP-105849
52742,56706,WPS-194-52742,ADHESIVE MOUNT PRO MAG-ALIGN BLACK,52742,WPS,(none),(none)
030106,41622,WPS-820-1320C,H-BAR CLAMP FINNED W/ SKIRT CHROME,03-0106,WPS,119417,CP-119418
030106,30099,06030003,Handlebar Clamp - Finned,03-0106,PU,119417,CP-119418
030106,88487,VT-25-2108,Finned Riser Top Clamp Chrome,03-0106,VTWIN,130083,CP-130084
80856,59345,VT-10-1609,Connecting Rod Set,80856,VTWIN,109214,CP-109215
80856,19267,09230689,"Connecting Rod Set - M8 (104""/107""/114"")",80856,PU,109214,CP-109215
80856,57128,WPS-820-58023,"CONNECTING ROD KIT M8 104/107/114"" OE# 24100057A",80856,WPS,(none),(none)
8185,72794,VT-33-8185,Custom Cateye LED Tail Lamp Clear,8-185,VTWIN,133150,CP-133151
8185,45595,WPS-60-1947,SWIVEL KIT FRONT TURN SIGNALS CHROME,8185,WPS,133150,CP-133151
8185,89790,VT-31-0582,Chrome Front Turn Signal Clamp Ball Stud,8185,VTWIN,155484,CP-155485
GBDU007,57324,WPS-17-DU007,"ROTOR 12.5"" FLOATING WAVE FR BLACK",GBDU007,WPS,(none),(none)
GBDU007,8766,17104927,"Wave® Brake Rotor - Front - 12-1/2"" - Black",GBDU007,PU,99124,CP-099125
45217,58647,WPS-820-32007,BRAKE CALIPER ASSEMBLY REAR REPL OE#40925-00,45217,WPS,98084,CP-098085
45217,7677,78053044,Rear Caliper - '00-'03 XL,45217,PU,98084,CP-098085
45217,87545,VT-23-0587,Replica Chrome Rear Caliper with Bracket and Brake Pads,45217,VTWIN,141346,CP-141347
202051C,37298,WPS-191-57002C,GUIDE INTAKE +0.001 CAST IRON HD SHOVELHEAD 78-83,20-2051C,WPS,121001,CP-121002
202051C,31721,09260755,"Valve Guide - Intake - 0.6260"" OD - Shovelhead 'L79-'84",20-2051C,PU,121001,CP-121002
202051C,60055,VT-11-0997,Kibblewhite Cast Iron .001 Intake Valve Guide,20-2051C,VTWIN,126328,CP-126329
8708,25128,DS290352,Thunderslide Jet Kit - Big Twin,8708,PU,114759,CP-114760
8708,56786,WPS-874-1224,TIRE BATTLECRUISE H50 FRONT 100/80-17 52H BIAS TL,8708,WPS,(none),(none)
8821,45594,WPS-60-1946,SUPPORT BULLET TURN SIGNAL SHORT CHROME,8821,WPS,92150,CP-092151
8821,89731,VT-31-0327,Chrome Turn Signal Bracket Rear,8821,VTWIN,92150,CP-092151
8821,56804,WPS-874-1241,TIRE BATTLECRUISE H50 REAR 180/70B16 77H BIAS TL,8821,WPS,(none),(none)
B281257,27214,13102497,"Stiletto Shock - 13"" - Black/Red - Heavy Duty",B28-1257,PU,116748,CP-116749
B281257,56043,WPS-750-05581,"STILETTO SHOCKS 13"" TOURING `95-25 HVY WEIGHT",B28-1257,WPS,(none),(none)
40373,27319,20101499,Taillight/License Plate Holder - Red Lens - Chrome,40373,PU,102918,CP-102919
40373,12655,10102895,VO2 Rogue Air Intake Kit - Wrinkle Black,40373,PU,102918,CP-102919
40373,82623,VT-73-373,Hex Head Machine Screw 3/8 inch x 1-1/4 inch Stainless Steel,40-373,VTWIN,116853,CP-116854
206589SALED,41324,WPS-820-0370A,LED BULLET MARKER LIGHT CHROME W/AMBER LENS,20-6589SALED,WPS,98308,CP-098309
206589SALED,7921,78052069,BulletvMarker Lights - LED - Amber Lens - Chrome,20-6589SALED,PU,98308,CP-098309
206589SALED,71789,VT-33-0473,Mini LED Bullet Amber Lens Marker Lamp Set,20-6589SALED,VTWIN,129853,CP-129854
20036,27826,24010514,Tool Box Mount Kit - Big Twin,2003-6,PU,106719,CP-106720
20036,16668,04110179,Fork Boot Cover - Chrome - Smooth,20-036,PU,106719,CP-106720
20036,70930,VT-32-2018,Sumax Spark Plug Wire Set 8mm Black,20036,VTWIN,117331,CP-117332
6853B,27979,18002257,Speedster Slashdown Exhaust - '18-'20 Softail,6853B,PU,117475,CP-117476
