catalog_unified_id,sku,name,source_vendor,correct_canonical_id,product_vendors_id,current_pv_canonical_id
3638,DS174316,Alternator Cover O-Ring - Big Twin,PU,180091,94222,94223
11352,06303422,Ruffian Lock-On Street Grips - CVO - Black/Bronze,PU,180095,101657,101658
13250,09344682,"Cam Cover Gasket - .060"" - '82-'85 Sportster",PU,180096,103489,103490
50521,WPS-850-09723,TURN SIGNAL ELIMINATOR G BLK,WPS,180100,136541,122311
50522,WPS-850-09724,TURN SIGNAL ELIMINATOR CHR,WPS,180101,136542,123546
83402,VT-11-0502,74 inch Panhead Front Cylinder,VTWIN,180094,166091,98114
83403,VT-11-0503,74 inch Panhead Rear Cylinder,VTWIN,180089,166092,93626
84574,VT-14-0500,V-Twin Tappet Block O-Ring,VTWIN,180087,167263,92235
84604,VT-14-0531,V-Twin Inner Primary O-Ring,VTWIN,180092,167293,94223
84870,VT-15-0124,V-Twin Cam Cover Gaskets,VTWIN,180097,167559,103490
86667,VT-18-0270,OE Clutch Spring,VTWIN,180099,169356,103838
87054,VT-20-4000,1-1/8 inch Carlisle Panther Rear Belt 128 Tooth,VTWIN,180098,169743,103813
90139,VT-32-0222,Generator 12 Volt 2-Brush Armature,VTWIN,180088,172828,93581
92656,VT-37-0901,Side Cover Rubber Grommets,VTWIN,180084,175345,93879
92943,VT-37-8935,Cylinder Stud Insert,VTWIN,180093,175632,94330
94483,VT-44-0918,OE Wheel Hub Inner Spacer,VTWIN,180090,177172,93849
