old_canonical_id,cluster_key,member_ids,member_skus
91312,JGI11101X,1486,DS173508
91312,JGI11101,3612,DS174290
91312,__NULL_84575,84575,VT-14-0501
92054,NHD7266412,58852,WPS-850-08160
92196,JGI1702970,3587|85179,DS173239|VT-15-0804
92207,JGI11105,1500,DS174334
92207,C9435,5622,09350186
92207,71235,84577,VT-14-0503
92288,JGI1735386A,3683,DS174359
92310,C95652,2332,09344709
92310,JGI1676973T,3673|85355,DS174913|VT-15-1130
92310,S410195001007,84852,VT-15-0102
92415,170126,4502,DS194201
92805,3023020013,5291|63567,DS223471|VT-18-3694
93022,C95642,6635,09344708
94020,A2258983,83933,VT-12-0949
94910,70384,89643,VT-31-0115
95364,7930061,23172|38034,21131004|WPS-279-3006-1
95366,7930071,26422|38035,21131006|WPS-279-3007-1
99451,JGI1677794S,24479|85345,DS174307|VT-15-1101
99501,220112AHC4,14011,DS391240
99501,220122AR,89406,VT-28-2006
114143,76939,84771,VT-14-0952
