name,domain,reason
"V-Twin","vtwinmfg.com","clearbit 404"
"Drag Specialties","dragspecialties.com","clearbit 404"
"Wyatt Gatling","wyattgatling.com","clearbit 404"
"Scorpion EXO","scorpionusa.com","clearbit 404"
"Colony","colonymachine.com","clearbit 404"
"Motorshop","","no domain"
"HardDrive","wps-inc.com","clearbit 404"
"Magnum Shielding","magnumshielding.com","clearbit 404"
"James Gaskets","jamesgaskets.com","clearbit 404"
"LA Choppers","lachoppers.com","clearbit 404"
"Eastern Motorcycle Parts","easternmotorcycleparts.com","clearbit 404"
"Ultima","ultimaproducts.com","clearbit 404"
"Arlen Ness","arlenness.com","clearbit 404"
"NAMZ Custom Cycle","namzcustomcycleproducts.com","clearbit 404"
"Saddlemen","saddlemen.com","clearbit 404"
"S&S Cycle","sscycle.com","clearbit 404"
"GMAX","gmax.com","clearbit 404"
"Cometic","cometic.com","clearbit 404"
"Volt Tech","","no domain"
"Custom Dynamics","customdynamics.com","clearbit 404"
"Motion Pro","motionpro.com","clearbit 404"
"Burly Brand","burlybrand.com","clearbit 404"
"Barnett","barnettclutches.com","clearbit 404"
"Highway 21","highway21.com","clearbit 404"
"Goodridge","goodridge.net","clearbit 404"
"Cobra","cobrausa.com","clearbit 404"
"FLY RACING","flyracing.com","clearbit 404"
"Fat Baggers","fatbaggersinc.com","clearbit 404"
"York","york.com","clearbit 404"
"Kibblewhite","kibblewhiteprecision.com","clearbit 404"
"EBC","ebc.com","clearbit 404"
"Performance Machine","performancemachine.com","clearbit 404"
"Memphis Shades","memphisshades.com","clearbit 404"
"Le Pera","lepera.com","clearbit 404"
"Mustang","mustangseats.com","clearbit 404"
"Feuling","feulingparts.com","clearbit 404"
"Gary Bang","garybang.com","clearbit 404"
"Drag Specialties Seats","dragspecialtiesseats.com","clearbit 404"
"Klock Werks","klockwerks.com","clearbit 404"
"MCM","mcm.com","clearbit 404"
"Jims","jims.com","clearbit 404"
"Paul Yaffe Bagger Nation","paulyaffebaggernation.com","clearbit 404"
"Avon","avon.com","clearbit 404"
"Edart","edart.com","clearbit 404"
"RST","rst.com","clearbit 404"
"Sifton","sifton.com","clearbit 404"
"Andrews","andrews.com","clearbit 404"
"Ciro","ciro.com","clearbit 404"
"SP Connect","spconnect.com","clearbit 404"
"Belt Drives Ltd","beltdrivesltd.com","clearbit 404"
"Joker Machine","jokermachine.com","clearbit 404"
"Mikuni","mikuni.com","clearbit 404"
"Wiseco","wiseco.com","clearbit 404"
"OE","oe.com","clearbit 404"
"Bassani","bassani.com","clearbit 404"
"Pro-One","pro-one.com","clearbit 404"
"Gardner-Westcott","gardner-westcott.com","clearbit 404"
"National Cycle","nationalcycle.com","clearbit 404"
"Vance & Hines","vanceandhines.com","clearbit 404"
"Progressive Suspension","progressivesuspension.com","clearbit 404"
"All Balls Racing","allballsracing.com","clearbit 404"
"Thrashin Supply","thrashinsupply.com","clearbit 404"
"Khrome Werks","khromewerks.com","clearbit 404"
"Shinko","shinkotire.com","clearbit 404"
"FIRE POWER","firepower.com","clearbit 404"
"Hastings","hastings.com","clearbit 404"
"Biltwell","biltwell.com","clearbit 404"
