row_id,catalog_source,source_page,section,fits_raw,hd_model_code,year_start,year_end,note,cable_type,variant,sku,sku_nodash,oem_number,length,elbow_or_adjuster,travel,cruise_ready,catalog_unified_id,catalog_unified_name,already_has_oem
1,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHR,FLHR,1996,1998,,throttle,braided,0650-0299,06500299,56523-02,"39 1/2""",90°,"5""",,14337,"Stainless Braided Throttle Cable - 39-1/2""",yes
2,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHR,FLHR,1996,1998,,throttle,black_vinyl,0650-0336,06500336,56523-02,"39 1/2""",90°,"5""",,14304,"Black Vinyl Throttle Cable - 39-1/2""",yes
3,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHR,FLHR,1996,1998,,idle,braided,0651-0171,06510171,56237-99A,"38 7/8""",90°,"4 7/8""",Y,14280,"Stainless Braided Idle Cable - Cruise - 38-7/8""",yes
4,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHR,FLHR,1996,1998,,idle,black_vinyl,0651-0181,06510181,56237-99A,"38 7/8""",90°,"4 7/8""",Y,8061,"Black Vinyl Idle Cable - Cruise - 38-7/8""",yes
5,oldbook_2026,890,DRESSER (5-SPEED),For 94-95 FLHR,FLHR,1994,1995,,throttle,braided,0650-0319,06500319,56376-94,"39 1/2""",90°,"5""",,8097,"Stainless Braided Throttle Cable - 39-1/2""",no
6,oldbook_2026,890,DRESSER (5-SPEED),For 94-95 FLHR,FLHR,1994,1995,,throttle,black_vinyl,0650-0356,06500356,56376-94,"39 1/2""",90°,"5""",,3289,"Black Vinyl Throttle Cable - 39-1/2""",no
7,oldbook_2026,890,DRESSER (5-SPEED),For 94-95 FLHR,FLHR,1994,1995,,idle,braided,0651-0124,06510124,56375-94,"39 1/2""",90°,"4 3/4""",N,14246,"Stainless Braided Idle Cable - 39-1/2""",no
8,oldbook_2026,890,DRESSER (5-SPEED),For 94-95 FLHR,FLHR,1994,1995,,idle,black_vinyl,0651-0161,06510161,56375-94,"39 1/2""",90°,"4 3/4""",N,3205,"Black Vinyl Idle Cable - 39-1/2""",no
9,oldbook_2026,890,DRESSER (5-SPEED),For 96-97 FLHR/I,FLHR/I,1996,1997,,throttle,braided,0650-0414,06500414,56379-97,"42 1/2""",90°,"5 1/4""",,14481,"Stainless Braided Throttle Cable - 42-1/2""",yes
10,oldbook_2026,890,DRESSER (5-SPEED),For 96-97 FLHR/I,FLHR/I,1996,1997,,throttle,black_vinyl,0650-0407,06500407,56379-97,"42 1/2""",90°,"5 1/4""",,3290,"Black Vinyl Throttle Cable - 42-1/2""",yes
11,oldbook_2026,890,DRESSER (5-SPEED),For 96-97 FLHR/I,FLHR/I,1996,1997,,idle,braided,0651-0247,06510247,56368-96,"42 1/2""",90°,"4 1/2""",N,3086,"Stainless Braided Idle Cable - 42-1/2""",yes
12,oldbook_2026,890,DRESSER (5-SPEED),For 96-97 FLHR/I,FLHR/I,1996,1997,,idle,black_vinyl,0651-0240,06510240,56368-96,"42 1/2""",90°,"4 1/2""",N,3085,"Black Vinyl Idle Cable - 42-1/2""",yes
13,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLHRC/I,FLHRC/I,1998,1998,,throttle,braided,0650-0414,06500414,56379-97,"42 1/2""",90°,"5 1/4""",,14481,"Stainless Braided Throttle Cable - 42-1/2""",yes
14,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLHRC/I,FLHRC/I,1998,1998,,throttle,black_vinyl,0650-0407,06500407,56379-97,"42 1/2""",90°,"5 1/4""",,3290,"Black Vinyl Throttle Cable - 42-1/2""",yes
15,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLHRC/I,FLHRC/I,1998,1998,,idle,braided,0651-0247,06510247,56369-96,"42 1/2""",90°,"4 1/2""",N,3086,"Stainless Braided Idle Cable - 42-1/2""",yes
16,oldbook_2026,890,DRESSER (5-SPEED),For 98 FLHRC/I,FLHRC/I,1998,1998,,idle,black_vinyl,0651-0240,06510240,56369-96,"42 1/2""",90°,"4 1/2""",N,3085,"Black Vinyl Idle Cable - 42-1/2""",yes
17,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHT,FLHT,1996,1998,,throttle,braided,0650-0413,06500413,56327-96,"38""",70°,"5""",,14480,"Stainless Braided Throttle Cable - 38""",yes
18,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHT,FLHT,1996,1998,,throttle,black_vinyl,0650-0406,06500406,56327-96,"38""",70°,"5""",,14477,"Black Vinyl Throttle Cable - 38""",yes
19,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHT,FLHT,1996,1998,,idle,braided,0651-0244,06510244,56328-96,"38""",70°,"4 3/4""",N,8064,"Stainless Braided Idle Cable - 38""",yes
20,oldbook_2026,890,DRESSER (5-SPEED),For 96-98 FLHT,FLHT,1996,1998,,idle,black_vinyl,0651-0237,06510237,56328-96,"38""",70°,"4 3/4""",N,14148,"Black Vinyl Idle Cable - 38""",yes
21,oldbook_2026,890,DRESSER (5-SPEED),For 95 FLHT,FLHT,1995,1995,,throttle,braided,0650-0312,06500312,56327-90,"38""",70°,"5""",,456,"Stainless Braided Throttle Cable - 38""",yes
22,oldbook_2026,890,DRESSER (5-SPEED),For 95 FLHT,FLHT,1995,1995,,throttle,black_vinyl,0650-0349,06500349,56327-90,"38""",70°,"5""",,3175,"Black Vinyl Throttle Cable - 38""",yes
23,oldbook_2026,890,DRESSER (5-SPEED),For 95 FLHT,FLHT,1995,1995,,idle,braided,0651-0123,06510123,56328-90,"38""",70°,"4 3/4""",N,14136,"Stainless Braided Idle Cable - 38""",yes
24,oldbook_2026,890,DRESSER (5-SPEED),For 95 FLHT,FLHT,1995,1995,,idle,black_vinyl,0651-0160,06510160,56328-90,"38""",70°,"4 3/4""",N,3259,"Black Vinyl Idle Cable - 38""",yes
25,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,throttle,braided,0650-0313,06500313,56327-81B,"42 1/2""",70°,"3 3/4""",,14161,"Stainless Braided Throttle Cable - 42-1/2""",no
26,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,throttle,black_vinyl,0650-0350,06500350,56327-81B,"42 1/2""",70°,"3 3/4""",,14472,"Black Vinyl Throttle Cable - 42-1/2""",no
27,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,idle,braided,0651-0126,06510126,56328-81B,"42 1/2""",70°,"4""",N,24,"Stainless Braided Idle Cable - 42-1/2""",no
28,oldbook_2026,890,DRESSER (5-SPEED),For 84-87 FLHT,FLHT,1984,1987,,idle,black_vinyl,0651-0163,06510163,56328-81B,"42 1/2""",70°,"4""",N,14277,"Black Vinyl Idle Cable - 42-1/2""",no
29,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,throttle,braided,0650-0307,06500307,56324-81C,"32 1/4""",45°,"3""",,3243,"Stainless Braided Throttle Cable - 32-1/2""",no
30,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,throttle,black_vinyl,0650-0344,06500344,56324-81C,"32 1/4""",45°,"3""",,3098,"Black Vinyl Throttle Cable - 32-1/2""",no
31,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,idle,braided,0651-0118,06510118,56323-81C,"32 1/4""",45°,"4""",N,3199,"Stainless Braided Idle Cable - 32-1/2""",no
32,oldbook_2026,890,DRESSER (5-SPEED),For 83 FLHT,FLHT,1983,1983,,idle,black_vinyl,0651-0155,06510155,56323-81C,"32 1/4""",45°,"4""",N,14253,"Black Vinyl Idle Cable - 32-1/2""",no
