id,sku,name,brand,display_category,display_subcategory,msrp
75513,"VT-37-1967","Krommet Maltese Type Black","V-Twin","Accessories & Gear","Merchandising",16.47
76460,"VT-38-1997","Small Ribbed Emblem Trim Stainless Steel","V-Twin","Accessories & Gear","Merchandising",23.68
76783,"VT-39-0785","Chrome Handlebar Clock Assembly","V-Twin","Accessories & Gear","Merchandising",53.34
76860,"VT-39-0926","Die Cast Tank Trim Cover Chrome","V-Twin","Accessories & Gear","Merchandising",45.24
76888,"VT-39-0999","Die Cast Tank Trim Cover Chrome","V-Twin","Accessories & Gear","Merchandising",62.48
79222,"VT-48-0103","Wyatt Gatling Dealer Sign","V-Twin","Accessories & Gear","Merchandising",10.67
79265,"VT-48-0234","Short Shock Absorber Design Keychain","V-Twin","Accessories & Gear","Merchandising",12.47
79326,"VT-48-0415","Handlebar Control Box Decal Set Silver and Black","V-Twin","Accessories & Gear","Merchandising",11.30
79330,"VT-48-0472","Joe Hunt Magneto Patches","V-Twin","Accessories & Gear","Merchandising",11.82
79342,"VT-48-0490","Pewter Grim Reaper with Sickle Emblem","V-Twin","Accessories & Gear","Merchandising",20.87
79435,"VT-48-0946","Sifton Patch Set","Sifton","Accessories & Gear","Merchandising",14.67
79449,"VT-48-1100","Evolution XL 883-1200 Engine Patch Set","V-Twin","Accessories & Gear","Merchandising",17.67
79451,"VT-48-1102","45 Engine Patch Set","V-Twin","Accessories & Gear","Merchandising",17.67
79460,"VT-48-1163","Black and White Knucklehead Engine Patches","V-Twin","Accessories & Gear","Merchandising",13.10
79465,"VT-48-1183","Nose Cone Shovelhead Patches","V-Twin","Accessories & Gear","Merchandising",17.67
79466,"VT-48-1184","Evolution XL Engine Patches","V-Twin","Accessories & Gear","Merchandising",17.67
79467,"VT-48-1186","45 inch WL/G Engine Patch Set","V-Twin","Accessories & Gear","Merchandising",17.67
79487,"VT-48-1327","Sifton Motorcycle Products Patches","Sifton","Accessories & Gear","Merchandising",13.62
79499,"VT-48-1338","Wyatt Gatling Patches","V-Twin","Accessories & Gear","Merchandising",18.39
79535,"VT-48-1394","Linkert Carburetor Dot Com Patch Set","V-Twin","Accessories & Gear","Merchandising",23.06
79544,"VT-48-1432","Cycle Shack Exhaust Patches","V-Twin","Accessories & Gear","Merchandising",14.27
79566,"VT-48-1485","McCulloch Engine Patches","V-Twin","Accessories & Gear","Merchandising",14.27
79581,"VT-48-1508","Linkert Teardrop Belt Buckle","V-Twin","Accessories & Gear","Merchandising",27.45
79597,"VT-48-1526","V-Twin Linkert Series Belt Buckle Set","V-Twin","Accessories & Gear","Merchandising",93.01
79630,"VT-48-1638","Champion Frame Patches","V-Twin","Accessories & Gear","Merchandising",13.10
79636,"VT-48-1645","Linkert Carburetor Belt Buckle","V-Twin","Accessories & Gear","Merchandising",28.59
79642,"VT-48-1654","V-Twin Pewter Motorcycle Clock 4-1/2 inch Tall","V-Twin","Accessories & Gear","Merchandising",40.20
79685,"VT-48-1772","Joe Hunt Magneto Vintage Patches","V-Twin","Accessories & Gear","Merchandising",16.07
95595,"VT-48-1798","TC-88 Replica Motor Model","V-Twin","Accessories & Gear","Merchandising",61.39
79718,"VT-48-1869","5 Gallon Torrington Waste Can","V-Twin","Accessories & Gear","Merchandising",33.89
79744,"VT-48-1904","Towel Ring Cam Cover Holder","V-Twin","Accessories & Gear","Merchandising",67.12
79753,"VT-48-1970","Nose Cone Belt Buckle","V-Twin","Accessories & Gear","Merchandising",25.38
79772,"VT-48-2165","V-Twin Can with Lid","V-Twin","Accessories & Gear","Merchandising",23.37
79775,"VT-48-2176","Hunt Magneto Patches","V-Twin","Accessories & Gear","Merchandising",17.67
79786,"VT-48-2292","Joe Hunt Vertical Magneto Patches","V-Twin","Accessories & Gear","Merchandising",15.42
79787,"VT-48-2294","New York State License Plate Patches","V-Twin","Accessories & Gear","Merchandising",15.42
79795,"VT-48-2310","Alphabet Exhaust Patches","V-Twin","Accessories & Gear","Merchandising",14.27
79806,"VT-48-2326","Factory Sample Catalog Supplement","V-Twin","Accessories & Gear","Merchandising",33.89
79809,"VT-48-2600","V-Twin Metal Box","V-Twin","Accessories & Gear","Merchandising",30.49
79810,"VT-48-2605","V-Twin Metal Box","V-Twin","Accessories & Gear","Merchandising",21.99
79811,"VT-48-2606","V-Twin Metal Box","V-Twin","Accessories & Gear","Merchandising",20.29
79840,"VT-48-4511","Ultima Chain Bracelet 9 inch",,"Accessories & Gear","Merchandising",22.52
82389,"VT-68-0059L","Women's V-Neck Large","V-Twin","Accessories & Gear","Merchandising",56.70
82390,"VT-68-0059M","Women's V-Neck Medium","V-Twin","Accessories & Gear","Merchandising",56.70
82392,"VT-68-0059XL","Women's V-Neck XL","V-Twin","Accessories & Gear","Merchandising",56.70
82393,"VT-68-0059XXL","Women's V-Neck 2XL","V-Twin","Accessories & Gear","Merchandising",56.70
70395,"VT-32-0734","Power Adapter 8-Pin Module Connector","Comp Cams","Accessories & Gear","Phone Accessories",27.08
71059,"VT-32-3045","USB Interface Cable","Daytona Twin Tec","Accessories & Gear","Phone Accessories",120.31
79297,"VT-48-0292","VTWIN MFG Restoration Parts for Knucklehead","V-Twin","Accessories & Gear","Shop Books",7.09
79670,"VT-48-1757","Paint and Number Reference Book","V-Twin","Accessories & Gear","Shop Books",25.39
69925,"VT-31-1796","Wyatt Gatling Tie Down Anchor Set Black","Wyatt Gatling","Accessories & Gear","Towing Equipment",32.40
79369,"VT-48-0650","Black Nylon Tie Down Assist 12 inch x 1 inch","V-Twin","Accessories & Gear","Towing Equipment",15.69
79548,"VT-48-1458","Chrome Helmet Lock with Pipe Key","V-Twin","Accessories & Gear","Towing Equipment",39.80
79549,"VT-48-1466","Black Helmet Lock with Pipe Key","V-Twin","Accessories & Gear","Towing Equipment",37.71
95594,"VT-48-1732","Chrome Helmet Lock","V-Twin","Accessories & Gear","Towing Equipment",34.26
95596,"VT-48-1806","Helmet Lock","V-Twin","Accessories & Gear","Towing Equipment",23.06
79841,"VT-48-5590","Red Cargo Net 15 inch x 15 inch",,"Accessories & Gear","Towing Equipment",19.12
96203,"VT-50-0622","Chrome Tie Down Bracket Kit","Wyatt Gatling","Accessories & Gear","Towing Equipment",62.48
80748,"VT-50-0623","Black Tie Down Bracket Kit","Wyatt Gatling","Accessories & Gear","Towing Equipment",66.85
84057,"VT-10-8268","Brake Pedal Shaft Bushing","Eastern Motorcycle Parts","Brakes","Brake Hardware",26.21
84700,"VT-12-0972","Right Side Brake Pedal Pivot Retainer","Eastern Motorcycle Parts","Brakes","Brake Hardware",15.75
61266,"VT-12-7911","TWIN CAM HYDRAULIC REPLACEMENT SHOE",,"Brakes","Brake Hardware",7.09
85058,"VT-13-0146","Replica Brake Shoe Spring Set","V-Twin","Brakes","Brake Hardware",26.46
85083,"VT-13-0173","Chrome Brake Pedal Spring","V-Twin","Brakes","Brake Hardware",17.67
61329,"VT-13-0181","Brake Pedal Spring","V-Twin","Brakes","Brake Hardware",8.87
85097,"VT-13-0208","Brake Shoe Spring Set","V-Twin","Brakes","Brake Hardware",23.06
85130,"VT-13-0845","Hand Lever Spring Zinc","V-Twin","Brakes","Brake Hardware",17.87
61370,"VT-13-0853","Emergency Brake Pedal Spring Parkerized","V-Twin","Brakes","Brake Hardware",25.19
61381,"VT-13-0989","Rear Brake Shoe Spring Set","V-Twin","Brakes","Brake Hardware",20.87
