id,sku,name,brand,display_category,display_subcategory,msrp
55148,"WPS-26-4066","FLYDANNA VINTAGE AMERICAN BLACK/WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",9.98
55149,"WPS-26-4067","FLYDANNA VINTAGE AMERICAN FLAG","ZAN","Accessories & Gear","Handlebar Accessories",9.98
40788,"WPS-26-4166","COOLDANNA WAVY AMERICAN FLAG","ZAN","Accessories & Gear","Handlebar Accessories",9.98
40789,"WPS-26-4218","FLYDANNA WAVY AMERICAN FLAG","ZAN","Accessories & Gear","Handlebar Accessories",9.98
55180,"WPS-26-4310","FLYDANNA AMERICAN FLAG","ZAN","Accessories & Gear","Handlebar Accessories",9.98
42178,"WPS-26-5081","MOTLEY TUBE POLYESTER BLACK/WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",9.98
55265,"WPS-26-5087","MOTLEY TUBE BLACK & WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",17.98
40890,"WPS-26-5090","BALACLAVA POLYESTER BLACK WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",17.98
51568,"WPS-26-5204","SPORTFLEX MOTLEY TUBE BLACK & WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",13.98
55278,"WPS-26-5212","COOLDANA BLACK AND WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",9.98
55310,"WPS-26-5265","SPORTFLEX SERIES FLYDANNA BLACK & WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",10.98
55313,"WPS-26-5271","SPORTFLEX SERIES CONVERTIBLE BALACLAVA BLACK & WHITE FLAG","ZAN","Accessories & Gear","Handlebar Accessories",22.98
51815,"WPS-26-5331","MOTLEY TUBE FLEECE LINED URBAN CAMO FLAG","ZAN","Accessories & Gear","Handlebar Accessories",17.98
55337,"WPS-26-5353","SPORTFLEX HELMET LINER/BEANIE DISTRESSED FLAG","ZAN","Accessories & Gear","Handlebar Accessories",12.98
51789,"WPS-571-6111","TRAVEL CUP 20OZ STAINLESS STEEL","KRUZER KADDY","Accessories & Gear","Handlebar Accessories",34.99
51736,"WPS-571-6116","KING KADDY BAR MOUNT HOLDER XL CHROME","KRUZER KADDY","Accessories & Gear","Handlebar Accessories",59.99
43258,"WPS-571-6117","KING KADDY PERCH MOUNT HOLDER XL CHROME","KRUZER KADDY","Accessories & Gear","Handlebar Accessories",59.99
51794,"WPS-571-6119","KAN-DO KADDY HOLDER MULTIMOUNT STAINLESS STEEL","KRUZER KADDY","Accessories & Gear","Handlebar Accessories",42.99
43276,"WPS-571-6120","KAN-DO KADDY HOLDER MULTIMOUNT WHITE","KRUZER KADDY","Accessories & Gear","Handlebar Accessories",42.99
51451,"WPS-571-6123","ULTIMATE KADDY BARMOUNT XL CUP HOLDER 7/8 TO 1 1/4IN CHROME","KRUZER KADDY","Accessories & Gear","Handlebar Accessories",69.99
51452,"WPS-571-6124","ULTIMATE KADDY PERCHMOUNT XL CUP HOLDER CHROME","KRUZER KADDY","Accessories & Gear","Handlebar Accessories",69.99
57145,"WPS-71-7022","SELF-LEVELING CUP HOLDER & COZY W/ZINC COATED U-BOLT BASE","RAM Mounts","Accessories & Gear","Handlebar Accessories",58.99
47783,"WPS-71-7028","BRAKE/CLUTCH RESERVOIR MOUNT W/SELF-LEVELING CUP HOLDER","RAM Mounts","Accessories & Gear","Handlebar Accessories",64.99
57246,"WPS-71-7034","TOUGH-CLAW MOUNT W/SELF-LEVELING CUP HOLDER","RAM Mounts","Accessories & Gear","Handlebar Accessories",48.49
43236,"WPS-71-7047","LG CUP HOLDER W/CLAW MNT","RAM Mounts","Accessories & Gear","Handlebar Accessories",64.99
42231,"WPS-71-7141","CUP HOLDER WITH COZY 1"" DIAMETER BALL","RAM Mounts","Accessories & Gear","Handlebar Accessories",26.99
57210,"WPS-71-7142","LEVEL CUP HOLDER MOUNT W/1"" DIAMETER BALL","RAM Mounts","Accessories & Gear","Handlebar Accessories",49.49
37801,"WPS-816-0030","USA 6X9 FLAG AND MOUNT FOR SQUARE LUGGAGE RACK","Pro Pad","Accessories & Gear","Handlebar Accessories",60.95
44297,"WPS-816-0034","USA 6X9 FLAG AND FIXED MOUNT FOR 5/8"" ROUND BAR","Pro Pad","Accessories & Gear","Handlebar Accessories",95.95
53920,"WPS-11-6367","DECAL INSTALLATION KIT","HARDLINE","Accessories & Gear","Merchandising",14.95
41767,"WPS-489-9980","KEY CHAIN BLACK","Highway 21","Accessories & Gear","Merchandising",3.57
41768,"WPS-489-9981","KEY CHAIN BROWN","Highway 21","Accessories & Gear","Merchandising",4.17
37794,"WPS-59-9315","CYCLE CARE GIFT SET","S100","Accessories & Gear","Merchandising",69.95
41402,"WPS-60-1315","INSPECTION STICKER PLATE","Chris Products","Accessories & Gear","Merchandising",5.95
51165,"WPS-72-9985","STICKER GMAX HELMETS LOGO BLACK/WHITE 5"" 100/PK","GMAX","Accessories & Gear","Merchandising",29.95
50887,"WPS-750-03081","HOCKEY MASK SOFTAIL","SANTORO FABWORX","Accessories & Gear","Merchandising",317.95
50888,"WPS-750-03082","HOCKEY MASK DYNA","SANTORO FABWORX","Accessories & Gear","Merchandising",317.95
38545,"WPS-750-03150","HOCKEY MASK RED SOFTAIL","SANTORO FABWORX","Accessories & Gear","Merchandising",350.95
38546,"WPS-750-03151","HOCKEY MASK GOLD SOFTAIL","SANTORO FABWORX","Accessories & Gear","Merchandising",350.95
38547,"WPS-750-03154","HOCKEY MASK BRONZE SOFTAIL","SANTORO FABWORX","Accessories & Gear","Merchandising",350.95
38548,"WPS-750-03155","HOCKEY MASK RED DYNA","SANTORO FABWORX","Accessories & Gear","Merchandising",350.95
38549,"WPS-750-03156","HOCKEY MASK GOLD DYNA","SANTORO FABWORX","Accessories & Gear","Merchandising",350.95
51808,"WPS-750-03159","HOCKEY MASK BRONZE DYNA","SANTORO FABWORX","Accessories & Gear","Merchandising",350.95
44220,"WPS-99-7122","STICKER 3"" (50 PK)","OPEN TRAIL","Accessories & Gear","Merchandising",27.95
44227,"WPS-99-8102","FIRE POWER STICKER WHITE 100 PKS","FIRE POWER","Accessories & Gear","Merchandising",37.95
44228,"WPS-99-8103","FIRE POWER STICKER NAVY 100 PKS","FIRE POWER","Accessories & Gear","Merchandising",37.95
44229,"WPS-99-8104","FP LOGO STICKER SM 100 PKS","FIRE POWER","Accessories & Gear","Merchandising",37.95
44230,"WPS-99-8105","FP LOGO STICKER LG 100 PKS","FIRE POWER","Accessories & Gear","Merchandising",37.95
40976,"WPS-270-2010","ALL WEATHER COVER BLACK/GREY M","Nelson-Rigg","Accessories & Gear","Motorcycle Covers",89.95
40977,"WPS-270-2011","ALL WEATHER COVER BLACK/GREY L","Nelson-Rigg","Accessories & Gear","Motorcycle Covers",99.95
55401,"WPS-270-2012","ALL WEATHER COVER BLACK/GREY XL","Nelson-Rigg","Accessories & Gear","Motorcycle Covers",104.95
