ITEM,DESCRIPTION,DEALER_PRICE,RETAIL_PRICE,HAS_STOCK,UOM,THIS_YR_CATPAGE,LAST_YR_CATPAGE,VENDOR_PARTNO,MANUFACTURER,CNTRY_OF_ORIGIN,WEIGHT_LBS,LENGTH_INCH,WIDTH_INCH,HEIGHT_INCH,OEM_XREF1,OEM_XREF2,OEM_XREF3,THUMB_PIC,FULL_PIC1,FULL_PIC2,FULL_PIC3,FULL_PIC4,UPDATE_DATE,DATE_ADDED
"10-0000","S&S Engine Crankcase Set Stock Bore",1421.58,1620.60,"Yes","SET",165,153,"31-0000","S&S Cycle","USA",30,18,15,13," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0000t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0000a.jpg"," "," "," ","06/22/2026","20000101"
"10-0003","S&S Stock Bore Shovelhead Engine Crankcase Set",1421.89,1620.95,"Yes","KIT",494,480,"31-0003","S&S Cycle","USA",28,18,15,12," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0003t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0003a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0003b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0003c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0003d.jpg","06/22/2026","20000101"
"10-0005","Stock Bore Engine Crankcase Set",1421.37,1620.36,"Yes","SET",165,153,"31-0005","S&S Cycle","USA",30,18,15,12," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0005t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0005a.jpg"," "," "," ","06/22/2026","20000101"
"10-0006","Shovelhead 80 inch Short Block",3159.82,3602.19,"Low","EA",492,478," ","Motorshop","USA",78,18,15,12," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0006t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0006a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0006b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0006c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0006d.jpg","06/22/2026","20000101"
"10-0007","Evolution 80 inch Short Block",3168.57,3612.16,"No","EA",164,152," ","Motorshop","USA",83,21,19,19," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0007t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0007a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0007b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0007c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0007d.jpg","06/22/2026","20000101"
"10-0008","Evolution 80 inch Short Block",3650.28,4161.31,"Low","EA",164,152," ","Motorshop","USA",77,22,19,17," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0008t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0008a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0008b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0008c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0008d.jpg","06/22/2026","20000101"
"10-0029","S&S Stock Bore Engine Crankcase Set",1646.96,1877.53,"Yes","KIT",494,494,"31-0008","S&S Cycle","USA",31,18,14,12," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0029t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0029a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0029b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0029c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0029d.jpg","06/22/2026","20000101"
"10-0030","S&S Stock Bore Engine Crankcase Set",1646.25,1876.72,"No","KIT",494,494,"31-0010","S&S Cycle","USA",31,18,15,12," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0030t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0030a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0030b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0030c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0030d.jpg","06/22/2026","20000101"
"10-0038","Flywheel Assembly with 4-5/8 inch Stroke",1464.93,1670.02,"Low","KIT",496,482,"32-2015*EM LIST","S&S Cycle","USA",38,15,11,12," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0038t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0038.jpg"," "," "," ","06/22/2026","20000101"
"10-0040","Chrome Nose Cone Cam Cover",144.82,195.50,"Yes","EA",34,30,"35-0015","Motorshop","TAIWAN",2,10,7,6,"25268-84A"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0040t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0040a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0040b.jpg"," "," ","06/22/2026","20000101"
"10-0065","8-Finned Knucklehead Cam Cover Die Cast",205.15,266.69,"Yes","EA",503,489," ","Motorshop","TAIWAN",2,13,7,4,"25216-36"," ","584-36","http://www.vtwinmfg.com/WebPics/10/tn/10-0065t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0065a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0065b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0065c.jpg"," ","06/22/2026","20000101"
"10-0066","8-Finned Panhead Cam Cover Natural",165.82,223.85,"Yes","EA",503,489," ","Motorshop","TAIWAN",2,13,7,3,"25216-48"," ","584-48","http://www.vtwinmfg.com/WebPics/10/tn/10-0066t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0066a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0066b.jpg"," "," ","06/22/2026","20000101"
"10-0067","4-Finned Panhead Cam Cover Cast",124.93,168.65,"Yes","EA",510,496," ","Motorshop","TAIWAN",2,13,7,4,"25216-48"," ","584-48","http://www.vtwinmfg.com/WebPics/10/tn/10-0067t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0067a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0067b.jpg"," "," ","06/22/2026","20000101"
"10-0068","4-Fin Panhead Cam Cover Cast",159.15,214.85,"Yes","EA",503,489," ","Motorshop","TAIWAN",2,13,7,4,"25216-58"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0068t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0068a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0068b.jpg"," "," ","06/22/2026","20000101"
"10-0077","Flatside Smooth Style Cast Cam Cover",221.82,288.36,"Yes","EA",503,489," ","Motorshop","TAIWAN",3,12,7,3,"25216-65"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0077t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0077a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0077b.jpg"," "," ","06/22/2026","20000101"
"10-0079","Smooth Flatside Style Cast Cam Cover",207.28,269.46,"Yes","EA",510,496," ","Motorshop","TAIWAN",3,13,7,3,"25216-66"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0079t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0079a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0079b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0079c.jpg"," ","06/22/2026","20000101"
"10-0088","Polished Nose Cone Cam Cover",156.15,210.80,"Yes","EA",34,30,"35-0015P *8'S*","Motorshop","TAIWAN",2,9,8,6,"25268-84A"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0088t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0088a.jpg"," "," "," ","06/22/2026","20000101"
"10-0090","Polished Nose Cone Cam Cover",143.82,194.15,"Yes","EA",511,497,"35-0005P","Motorshop","TAIWAN",2,7,9,5," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0090t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0090a.jpg"," "," "," ","06/22/2026","20000101"
"10-0095","Chrome Tappet Block Set",156.98,211.92,"Yes","SET",519,505,"20489","Motorshop","JAPAN",3,7,4,4,"18600-66B","18610-66B"," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0095t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0095a.jpg"," "," "," ","06/22/2026","20000101"
"10-0110","Chrome Nose Cone Cam Cover",165.82,223.85,"Low","EA",511,497,"35-0005","Motorshop","TAIWAN",3,9,8,6,"25218-70"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0110t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0110a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0110b.jpg"," "," ","06/22/2026","20000101"
"10-0111","Chrome Nose Cone Cam Cover",147.15,198.65,"Yes","EA",34,30,"46475","Motorshop","TAIWAN",3,8,7,5,"25268-84A"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0111t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0111a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0111b.jpg"," "," ","06/22/2026","20000101"
"10-0126","Panhead 4-Finned Cam Cover Chrome",246.28,320.16,"Yes","EA",510,496," ","Motorshop","TAIWAN",3,12,7,3,"25216-58"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0126t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0126a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0126b.jpg"," "," ","06/22/2026","20000101"
"10-0127","1-Hole Sifton Crank Pin",18.57,31.56,"Yes","EA",812,796,"23960-29","Sifton","TAIWAN",0,3,1,1,"23960-29A"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0127t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0127a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0127b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0127c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0127d.jpg","06/22/2026","20000101"
"10-0129","3-Hole Crank Pin",69.94,101.41,"Yes","EA",499,485,"A-23961-41","Eastern","USA",1,6,3,2,"23961-41"," ","348-41","http://www.vtwinmfg.com/WebPics/10/tn/10-0129t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0129a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0129b.jpg","http://www.vtwinmfg.com/WebPics/10/10-0129c.jpg","http://www.vtwinmfg.com/WebPics/10/10-0129d.jpg","06/22/2026","20000101"
"10-0130","1-Hole Crank Pin",69.94,101.41,"Yes","EA",167,155,"A-23961-80","Eastern","USA",1,5,3,1,"23961-80A"," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0130t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0130a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0130b.jpg"," "," ","06/22/2026","20000101"
"10-0131","3-Hole Crank Pin",69.95,101.42,"Yes","EA",499,485,"A-23962-40","Eastern","USA",1,5,3,2,"23962-40"," ","348-40","http://www.vtwinmfg.com/WebPics/10/tn/10-0131t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0131a.jpg","http://www.vtwinmfg.com/WebPics/10/10-0131b.jpg"," "," ","06/22/2026","20000101"
"10-0134","2-Hole Eastern Super Crank Pin",69.94,101.41,"Yes","EA",499,485,"A-23961-79","Eastern","USA",1,3,2,1,"23961-41"," ","348-41","http://www.vtwinmfg.com/WebPics/10/tn/10-0134t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0134a.jpg"," "," "," ","06/22/2026","20000101"
"10-0135","2-Hole Magnum Crank Pin",48.57,72.85,"Yes","EA",499,485,"39896","Motorshop","JAPAN",1,6,2,2,"23961-41"," ","348-41","http://www.vtwinmfg.com/WebPics/10/tn/10-0135t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0135.jpg","http://www.vtwinmfg.com/WebPics/10/10-0135a.jpg"," "," ","06/22/2026","20000101"
"10-0137","Connecting Rod Race Set",40.57,60.85,"Yes","SET",857,841,"20267","Motorshop","TAIWAN",0,3,3,2,"24341-52A","24352-52A"," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0137t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0137a.jpg"," "," "," ","06/22/2026","20000101"
"10-0138","Connecting Rod Race Set",41.82,62.73,"Yes","SET",167,155,"26529","Motorshop","JAPAN",0,5,4,2,"24345-36A","24356-36A"," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0138t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0138a.jpg"," "," "," ","06/22/2026","20000101"
"10-0139","Connecting Rod Race Set",38.38,62.17,"Yes","SET",812,796,"E-2003","Eastern","TAIWAN",0,5,3,1," "," "," ","http://www.vtwinmfg.com/WebPics/10/tn/10-0139t.jpg","http://www.vtwinmfg.com/WebPics/10/10-0139a.jpg"," "," "," ","06/22/2026","20000101"
