id,name,vendor_sku,change_to
79094,10K DEALER MARKETING PROMO PACK,48-0194,Remove
79390,1-1/2 inch Chrome Concho,48-1433,Saddlebag accessories
79060,1340 Evolution Engine Plaque,48-0030,Memorabilia - patch
65930,"1/4 inch-20, 1/4 inch-28 and 1/4 inch-24 Stud Installation T",2394-3,Instillation Tool
79327,15th Edition V-Twin Car for 2010,48-1265,Remove
81433,16 inch x 3.00 inch Replica KH Hub Wheel Black,52-0587,"Wheel, rim"
77227,1/8 inch NPT 90� Nipple,40-1785,Wheel- hardware
81350,18 inch x 2.15 inch Black Rim,52-0232,"Wheel, rim"
60129,1936 Knucklehead Frog Eye Set,11-1141,Rocker Arm Shaft Cover
79274,1936 Knucklehead Motorcycle Model,48-0931,Memorabilia -  model
519085,1941-1952 Solo Parts Manual,48-0888,Parts manual
80918,1948-1957 Neck Hallmark Number Plate Set,51-0071,Frame- neck numbers
82004,1955 Panhead Tom'O Wall Art 10' x 30',55-2025,Memorabilia - art
79313,1971-1984 Shovelhead Product Guide,48-1175,Shop manuals
79294,1971 Chopper Art,48-1059,Memorabilia - art
79221,1978 FLH Big Scale Display Model,48-0651,Memorabilia -  model
95161,1 inch-14 Ball Socket Black,49-2177,Frame general
69866,1 inch Short  inchP inch Muffer Clamp Set,31-1634,Exhaust 
79091,1K DEALER MARKETING PROMO PACK,48-0191,Remove
79609,2025 V-Twin Product Guide,48-2025,Remove
25397,"24""DRAG DOOR/TRUCK STCKER",DS800111,Sticker
77201,3/8 inch Hose Forming Coil Set,40-1470,Chopper
88392,39mm Dual Disc Lower Leg Set Polished,24-1330,Front fork
499811,39mm Top Stem Nut Black,24-3093,Triple tree
79092,3K DEALER MARKETING PROMO PACK,48-0192,Remove
81036,45 inch Replica Rigid Cast Neck Raw Steel,51-0460,frame
77297,45� Oil Tube Fitting,40-9994,Oil line fitting
94622,5.10 X 16 inch Tube Side Valve Metal Stem,46-0115,Wheel rim
94621,5.10 X 16 inch Tube Side Valve Rubber Stem,46-0114,Wheel rim
77200,5/16 inch Hose Forming Coil Set,40-1468,chopper
79566,5 Gallon Torrington Waste Can,48-1869,Trash can
79558,5 Gallon Waste Can,48-1814,Trash can
79512,5 Gallon Waste Can,48-1690,Trash can
71253,6 Volt Replica Coil Chrome,32-7521,Ignition coil
79093,7K DEALER MARKETING PROMO PACK,48-0193,Remove
79198,80 inch Flathead Engine Plaque,48-0498,Memorabilia - art
60889,883-1200cc Black Diamond Intake Conversion Valve,11-6125,Intake valve
83020,Acorn Type Headbolt Cover Chrome,9000-4,Headbolt cover
95178,Air Pump Clamp Set,49-2536,Frame general
77039,Alloy Hose Guide 3/8 inch,40-0611,chopper
56152,ALUMINIUM FRONT PLATE BLACK,561-3592B,Riser cover
56154,ALUMINIUM FRONT PLATE SILVER,561-3592S,Riser cover
14082,Bar Stool,99050131,Memorabilia -  bar stool
24879,Bar Stool Seat,99050132,Memorabilia -  bar stool
95141,Bearing Guard,49-2000,Fork bearing guard
95142,Bearing Guard,49-2001,Fork bearing guard
85975,Bearing Retaining Plate,17-0104,Transmission
79156,"Big Twin Shop Dope Manaul, Volume 3",48-0305,Shop manuals
94860,Black Oxide Bolt to Mount Stock T Bar,49-0188,General hardware
77324,Black Oxide Finish,41-0124,Spray paint
515253,Black Panel for Split Tanks,39-1178,Tank dash panel
