sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
33-1908,LED Marker Lamp Pod Set with 4 Pods,https://www2.vtwinmfg.com/led-marker-lamp-pod-set-with-4-pods.html,$115.89,,Custom application,Four pod set features a seven color changeable array by push button switch.,1 - KIT,,Wyatt Gatling,Imported,1163,,Suggested to use with #33-1928 light pod control switch,"{""Color"": ""Assorted"", ""Style"": ""Pod""}",product_page,
32-0317,Heavy Duty Black Ground Battery Cable Assortment,https://www2.vtwinmfg.com/heavy-duty-black-ground-battery-cable-assortment.html,$67.23,,Custom application for original cable,Battery ground cable assortment is heavy duty replacement type and includes five pieces of our most popular battery cables. PVC plastic coated cable replaces original with heat shield terminal ends.,1 - KIT,,Volt Tech,USA,377,"32-0311 - Black Positive/Negative 10-3/4"" Battery Cable 32-0314 - Black Ground 8-1/2"" Battery Cable 32-0313 - Black Ground 10-1/4"" Battery Cable",,"{""Size"": ""All Other"", ""Type"": ""Cable""}",product_page,
33-0437,Bullet Smooth Type Marker Lamp Set,https://www2.vtwinmfg.com/bullet-smooth-type-marker-lamp-set-1.html,$67.39,,Custom application,Chrome lamp set features built in 360° adjustable visor with yellow lens and an extra pair of clear lenses. *NOTE: For show or decorative use only and are not D.O.T. approved.,1 - SET,,Wyatt Gatling,Imported,1161,,Suggested to use with #33-0143 bulb,"{""Measurements"": ""Diameter: 1-7/8\"""", ""Color"": ""Assorted"", ""Style"": ""Bullet""}",product_page,
44-0563,Chrome Rear Axle Kit,https://www2.vtwinmfg.com/chrome-rear-axle-kit-12.html,$63.63,41552-73,FX 1973-1984 | FL 1973-1984,"Kit includes chrome 11-7/8"" bearing surface length, axle, nuts, and spacer.",1 - KIT,Chrome,V-Twin,Imported,784,"44-0212 - 3/4"" Rear Hex Axle Chrome 44-0520 - Chrome Rear Axle Nut Kit",,"{""Measurements"": ""Bearing Surface: 10-7/8\"" Surface w/o Thread: 10-3/4\"" Overall Length: 12-3/4\"""", ""Bearing Surface: 10-7/8\"""": ""Surface w/o Thread: 10-3/4\"""", ""Location"": ""Rear"", ""Other Notes"": ""Outer Diameter: 3/4\"" Threads per Inch: 18"", ""Outer Diameter: 3/4\"""": ""Threads per Inch: 18""}",product_page,
16-0821,Counter Sprocket Nut Tool,https://www2.vtwinmfg.com/counter-sprocket-nut-tool.html,$75.85,94660-37A,FLST 1986-2006 | FL 1941-1984 | FXD 1991-2005 | FX 1971-1984 | XL 1991-UP | FXST 1986-2006 | FXR 1982-1994 | FLT 1979-2006,"Counter sprocket nut tool This tool is able to accept 1/2"" drive ratchet or breaker bar.",1 - EA,,Motorshop,Imported,1305,,,"{""Measurements"": ""Body I.D.: 1.883\"" Collar O.D.: 1.830\"""", ""Body I.D.: 1.883\"""": ""Collar O.D.: 1.830\""""}",product_page,
16-0514,Spark Plug Wire Tool,https://www2.vtwinmfg.com/spark-plug-wire-tool.html,$54.98,,All models,"Spark plug wire tool strips 7 and 8mm ignition wires, and crimps spark plug and distributor terminals.",1 - EA,,Motorshop,USA,690,,,,product_page,
16-1804,Rocker Arm Bushing Reamer Tool,https://www2.vtwinmfg.com/rocker-arm-bushing-reamer-tool.html,$334.03,94804-57,All models,"The Jims rocker arm bushing reamer tool is used to ream rocker bushings to a factory fit of .0007""-.0012"" in line with each other.",1 - EA,,Jims,USA,1301,,,,product_page,
16-0029,Connecting Rod Clamping Tool,https://www2.vtwinmfg.com/connecting-rod-clamping-tool.html,$89.73,95952-33,All models,Replica connecting rod clamping tool,1 - EA,,Motorshop,Imported,1299,"37-1045 - Thumb Screw Zinc 3/8-16 x 2""",Allows rod to be held for straightening or to replace wrist pin bushing,,product_page,
35-1666,CV Carburetor Mount Bracket Natural Stainless Steel,https://www2.vtwinmfg.com/cv-carburetor-mount-bracket-natural-stainless-steel.html,$35.54,,FL 1966-1984 | XL 1957-1987 | FX 1970-1984 | FXST 1985-1992,"CV carburetor mount bracket features a natural stainless steel finish and mounts to the top of carburetor. Mounts to the 2 vertical or stock XL and Big Twin manifolds. Bracket includes choke cable mount tab on the right side. *NOTE: Must order three M-4 0.7 X 18MM and one M-4 0.7 X 20MM allen socket cap mount screws, separately for installation.",1 - EA,,V-Twin,USA,404,,Suggested to use with #73-0407 M-4 0.7 X 18MM Allen Socket  Cap Screw Stainless Steel.,,product_page,
16-1763,Universal Thread Gauge Set,https://www2.vtwinmfg.com/universal-thread-gauge-set.html,$23.74,,All models,"The 4 piece Universal thread gauge set identifies USS, Metric, pipe size and spark plug size.",1 - SET,,Thexton,USA,1313,,,,product_page,
16-1763,Universal Thread Gauge Set,https://www2.vtwinmfg.com/universal-thread-gauge-set.html,$23.74,,All models,"The 4 piece Universal thread gauge set identifies USS, Metric, pipe size and spark plug size.",1 - SET,,Thexton,USA,1313,,,,product_page,
16-0129,Pinion Gear Puller Tool Kit,https://www2.vtwinmfg.com/pinion-gear-puller-tool-kit.html,$125.39,96830-51,FXD 1991-1998 | FL 1941-1984 | FXST 1984-1998 | EL 1939-1940 | FX 1971-1984 | FLST 1986-1998 | FXR 1982-1994 | XL 1967-1976 | FLT 1979-1998,"Puller tool kit is used to remove and install the pinion gear. Can be used to install gear on 1951-1953 Big Twin 61"" and 74"" overhead valve.                                                                                                                                                                                                                                                                                                                                                                                                                                       This is a 4 piece set.",1 - KIT,,Motorshop,Imported,1294,,Order #16-0141 nut wrench separately. Used to install pressed on splined pinion gears on 1939-1953 Big Twin. Used to remove pinion gear on 1939-1989 Big Twin and 1957-  1976 XL.,,product_page,
32-8439,,,,,,,,,,,,,,,not_found,
37-8813,"1/4""-28 x 1/2"" Socket Cap Screw Stainless Steel",https://www2.vtwinmfg.com/1-4-28-x-1-2-socket-cap-screw-stainless-steel.html,$12.49,,All Models,"Socket cap screw, 1/4""-28 x 1/2"", features a stainless steel finish.",10 - PK,,V-Twin,USA,1338,,,,product_page,
16-1850,Shaft Turning Tool,https://www2.vtwinmfg.com/shaft-turning-tool-1.html,$35.52,,FLST 1986-2005 | FXD 1991-2005 | FX 1971-1984 | FXST 1984-2005 | FL 1955-1984 | FXR 1982-2005 | FLT 1979-2005,"Shaft turning tool allows engine to be turned over by 1/2"" ratchet or impact driver. Spline type for TC models.",1 - EA,,Motorshop,Imported,,,,,product_page,
41-0194,Spectro Heavy Duty DOT 5 Silicone Brake Fluid,https://www2.vtwinmfg.com/dot-5-brake-fluid.html,$53.29,,All models,Spectro heavy duty golden blend DOT 5 silicone brake fluid comes in a 12 ounce bottle. Designed to surpass all DOT 5 specifications and requirements. Heavy duty DOT 5 is the ideal brake fluid for all Twins specifying a DOT 5 fluid but its better because this fluid beats spec in every way. Meets full OEM requirements and should be used according to the manufacturer's instructions. This fluid is non-hygroscopic and will not absorb water or harm painted surfaces. Specially formulated for all applications. **NOTE: Do not use when DOT 5.1 or DOT 4 fluid is specified.,1 - EA,,Spectro Oils,USA,1288,,,,product_page,
16-1736,Timer Device Tool,https://www2.vtwinmfg.com/timer-device.html,$25.44,,FL 1970-1978 | FX 1971-1978 | XL 1970-1978,"This E-Z timer device tool bolts inside the primary cover. After installation, only inspection oval of outer primary has to be removed for accurate timing.",1 - EA,,V-Twin,USA,1302,,,,product_page,
23-5001,Choppa-Stoppa Wheel Outer Lever,https://www2.vtwinmfg.com/choppa-stoppa-wheel-outer-lever.html,$45.36,,Custom application,Choppa-Stoppa wheel outer lever.,1 - EA,,V-Twin,Imported,,,,,product_page,
34-1174,Billet Velocity Stack Chrome,https://www2.vtwinmfg.com/billet-velocity-stack-chrome.html,$211.70,,FXST 1992-2017 | FXR 1992-1994 | FLST 1992-2017 | FXD 1992-2017,Billet chrome velocity stack features built in mount brackets and includes breather set for S & S super E.,1 - KIT,Chrome,Wyatt Gatling,Imported,,40-0346 - Chrome Acorn Billet Canister Set 34-1111 - Shorty Carburetor Screen 34-1139 - Air Cleaner Carburetor Support,,,product_page,
16-0650,Primary Drive Lock Tool with Step,https://www2.vtwinmfg.com/primary-drive-lock-tool-with-step.html,$22.57,41214,All models,Primary drive lock tool with step is used as a wedge type device to hold the primary drive gear while the proper torque is applied. Tool is constructed of nylon.,1 - EA,,Motorshop,Imported,1306,,,,product_page,
37-9188,Mirror Relocation Kit,https://www2.vtwinmfg.com/mirror-relocation-kit.html,$23.76,91907-87,"All 1965-UP models to relocate mirrors 2"" higher","Mirror relocation kit is used to extend mirror stems 2"" higher on all models. The shoulder to the end of the threads measures 1-9/16"" and the overall length is 2-13/16"". The outer diameter of the threaded end is .302"" and the outer diameter of the other end is .5"".",1 - KIT,,V-Twin,Imported,1200,37-9397 - Black Phosphate Mirror Relocation Kit,,,product_page,
11-3126,,,,,,,,,,,,,,,not_found,
12-0551,Clutch Hub Nut Kit,https://www2.vtwinmfg.com/clutch-hub-nut-kit.html,$25.38,37581-52,XLH 1967-1970 | XLCH 1970-1970,Clutch hub nut kit is a 6 piece set with 3 large hub stud nuts and 3 small hub stud nuts.,1 - KIT,,Motorshop,Imported,896,,Required to use with #18-3157 clutch hub,,product_page,
