sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
10-0153,Connecting Rod Roller Bearing Set .0002,https://www2.vtwinmfg.com/connecting-rod-roller-bearing-set-0002-1.html,$32.18,,UL 1941-1948 | FX 1971-1972 | FL 1941-1972,Torrington bearing set is .0002 oversize with 18 long and 36 short rollers. Roller bearing set supplies enough rollers for application only for use with steel cages.,1 - KIT,,Motorshop,USA,498,,,,product_page,
10-0176,Connecting Rod Assembly,https://www2.vtwinmfg.com/connecting-rod-assembly-4.html,$400.18,24275-57,XL 1957-1980,"Includes new rods, crank pin, nuts, cages and standard rollers fitted and assembled. Piston pin bushings are installed and honed for stock wirst pin.",1 - KIT,,Motorshop,Imported,857,,,"{""Measurements"": ""Rod Length: 7.437\""""}",product_page,
10-0176,Connecting Rod Assembly,https://www2.vtwinmfg.com/connecting-rod-assembly-4.html,$400.18,24275-57,XL 1957-1980,"Includes new rods, crank pin, nuts, cages and standard rollers fitted and assembled. Piston pin bushings are installed and honed for stock wirst pin.",1 - KIT,,Motorshop,Imported,857,,,"{""Measurements"": ""Rod Length: 7.437\""""}",product_page,
10-0265,UL Connecting Rod Set,https://www2.vtwinmfg.com/ul-connecting-rod-set.html,$761.27,24279-37,"ULH 1937-1941 80"" | UL 1937-1948 74""","Connecting rod set includes new rods, crank pin, nuts, cages and standard rollers fitted and assembled. Piston pin bushings are installed and honed for stock wrist pin. Rod assembly features stepped crank pin. Female rod measures 1.750 on the outside. Sold in a quanity of 2; one front and one rear rod. Steel cages are installed.                                    *NOTE: Completely assembled and fitted with wrist pin bushings, rod races, rollers and steel cages, with stepped crank pin. Assembly in New York with imported components.                                                                    *NOTE: Rods are forged with casting numbers XA-705 and XA-706 as original!",1 - SET,,Motorshop,Imported,812,10-0131 - 3-Hole Crank Pin 12-0521 - Crank Pin Nut Set 10-0141 - Connecting Rod Roller Bearing Set with Cages,,"{""Measurements"": ""Rod Length: 7.906\""""}",product_page,
10-0265,UL Connecting Rod Set,https://www2.vtwinmfg.com/ul-connecting-rod-set.html,$761.27,24279-37,"ULH 1937-1941 80"" | UL 1937-1948 74""","Connecting rod set includes new rods, crank pin, nuts, cages and standard rollers fitted and assembled. Piston pin bushings are installed and honed for stock wrist pin. Rod assembly features stepped crank pin. Female rod measures 1.750 on the outside. Sold in a quanity of 2; one front and one rear rod. Steel cages are installed.                                    *NOTE: Completely assembled and fitted with wrist pin bushings, rod races, rollers and steel cages, with stepped crank pin. Assembly in New York with imported components.                                                                    *NOTE: Rods are forged with casting numbers XA-705 and XA-706 as original!",1 - SET,,Motorshop,Imported,812,10-0131 - 3-Hole Crank Pin 12-0521 - Crank Pin Nut Set 10-0141 - Connecting Rod Roller Bearing Set with Cages,,"{""Measurements"": ""Rod Length: 7.906\""""}",product_page,
10-0265,UL Connecting Rod Set,https://www2.vtwinmfg.com/ul-connecting-rod-set.html,$761.27,24279-37,"ULH 1937-1941 80"" | UL 1937-1948 74""","Connecting rod set includes new rods, crank pin, nuts, cages and standard rollers fitted and assembled. Piston pin bushings are installed and honed for stock wrist pin. Rod assembly features stepped crank pin. Female rod measures 1.750 on the outside. Sold in a quanity of 2; one front and one rear rod. Steel cages are installed.                                    *NOTE: Completely assembled and fitted with wrist pin bushings, rod races, rollers and steel cages, with stepped crank pin. Assembly in New York with imported components.                                                                    *NOTE: Rods are forged with casting numbers XA-705 and XA-706 as original!",1 - SET,,Motorshop,Imported,812,10-0131 - 3-Hole Crank Pin 12-0521 - Crank Pin Nut Set 10-0141 - Connecting Rod Roller Bearing Set with Cages,,"{""Measurements"": ""Rod Length: 7.906\""""}",product_page,
10-0325,Right Side Case Roller Bearing Set .002,https://www2.vtwinmfg.com/right-side-case-roller-bearing-set-002.html,$34.94,9226,FLST 1986-1986 | FXST 1984-1986 | FXR 1984-1986 | FX 1971-1984 | FL 1958-1984 | FLT 1979-1986,Torrington .002 roller bearings is a 28 piece set for the right side crank case and measure .2520 x .490. Also fits star hub type wheels 1936-1984 Big Twins.,28 - SET,,Motorshop,Imported,169,,,"{""Type"": ""Pinion Shaft""}",product_page,
10-0421,Engine Sprocket Shaft,https://www2.vtwinmfg.com/engine-sprocket-shaft-8.html,$77.10,24000-75,XL 1977-1981 Early 1981,Machined and hardened to factory specifications.,1 - EA,,Eastern,USA,860,,,,product_page,
10-0421,Engine Sprocket Shaft,https://www2.vtwinmfg.com/engine-sprocket-shaft-8.html,$77.10,24000-75,XL 1977-1981 Early 1981,Machined and hardened to factory specifications.,1 - EA,,Eastern,USA,860,,,,product_page,
10-0483,Primary Cam Drive Chain,https://www2.vtwinmfg.com/primary-cam-drive-chain.html,$60.18,25610-99,FXST 1999-2006 | FLT 1999-2006 | FLST 1999-2006 | FXD 1999-2005,Primary cam drive chain is for Twin Cam models.,1 - EA,,V-Twin,Imported,170,,,,product_page,
