id,name,vendor_sku,change_to
69637,Chrome 1-1/4 inch Universal Mount Clamp Set,31-0697,
82704,Chrome Acorn Stem Nut,8008-1,
82904,Chrome Allen Type Disc Screw,8758-10,
82905,Chrome Allen Type Front Disc Screw,8759-5,
96062,Chrome Aluminum Head Washers,8215-18,
78307,Chrome Billet Nut Set Coarse Thread,44-0683,
78306,Chrome Billet Nut Set Fine Thread,44-0682,
79384,Chrome Coat Hook,48-1397,
83245,Chrome Countersunk Washer Set 1/4 inch,9834-8,
83247,Chrome Countersunk Washer Set 3/8 inch,9836-5,
83246,Chrome Countersunk Washer Set 5/16 inch,9835-8,
79153,Chrome Deco Skull,48-0302,
92977,Chrome Eye Bolt Set,37-9024,
75356,Chrome G Clamp,37-1500,
75357,Chrome G Clamp,37-1501,
82779,Chrome Headbolt,8217-18-45,
75269,Chrome ISO Mount Cover Set,37-0877,
80436,Chrome Milled Slots Speaker Grill Set,50-0010,
79577,Chrome Nose Cover Towel Bar,48-1887,
79591,Chrome Nose Cover Towel Bar,48-1903,
68604,Chrome Plated Stem Nut Kit,2937-5,
92979,Chrome Shift Gate Screw,37-9026,
82778,Chrome Stock Headbolt with Aluminum Heads,8216-18,
69636,Chrome Universal Mount Clamp Set 1-1/8 inch,31-0696,
69638,Chrome Universal Mount Clamp Set 1-3/8 inch,31-0698,
69635,Chrome Universal Mount Clamp Set 1 inch,31-0695,
95134,Clamp on Rear Mount Block,49-1987,
95135,Clamp on Rear Mount Connector,49-1988,
72354,Clamp On USB Charger Outlet,33-1699,
82100,Cleveland Greeting Card,68-0020,
92700,Condenser Mount Screw,37-1033,
66099,Cone Cover Nut Cone Type,24-0663,
88120,Cone Cover Nut Hex Type Chrome,24-0113,
88285,Cone Stem Nut Chrome,24-0679,
88524,Control Coil Nuts Nickel Plated,2459-4,
15627,Cover Care Token,99041483,
80165,Cycle Ray Lens Kit,49-1741,
79589,De Dion Motor Engine Model,48-1901,
91655,Diaphragm Cover Plugs Zinc,35-0349,
79385,Double Coat Hook,48-1398,
79656,Dress Up Ball Set Chrome,48-2321,
75365,Dual Throttle Clamp Black,37-1511,
79170,Early Motorcycles Construction Operation Service,48-0366,
96153,Electric Wiring Terminal Screw and Fitting Kit,8942-14,
76016,Emblem/Trim Mount Strip Set Raw Steel,38-0508,
84119,Engine Cam Oil Transfer Valve,12-1511,
60340,Evolution Rocker Cover Set,11-1580,
82044,EXTRA CHARGE ITEMS,60-7777,
504862,Fat Bob Key Switch Mount Kit,31-2535,
41984,FATBOB TANK GROMMETS 10 PK,820-52261,
90968,Female Terminal Solid Socket Type Terminal,32-9603,
90192,Fiber Wiring Terminal Plate with Bolts,32-0357,
90178,Fiber Wiring Terminal Plate with Bolts,32-0321,
86237,Filler Plug Lock Plate,17-0932,
92405,Fishpaper Washer 7/32 inch x 5/8 inch,37-0289,
92413,Fishpaper Washer 9/32 inch x 7/8 inch,37-0297,
77608,Flame Cover Set Chrome,42-0743,
75296,Flange Nut 5/8 inch x 18,37-0963,
77286,Flare Nipple Fitting Nut,40-9975,
32100,Flare Windshield Display,99050016,
31944,Flare Windshield Display with Flyer - FLR,99041651,
75370,Flat Head Fillister Head Slotted Screw 2-64 x 3/8 inch Zinc,37-1533,
79067,Flatside Shovelhead Engine Plaque Sign,48-0048,
58453,FLATSIDE TANK GROMMETS 6PK,820-52263,
94747,FL-FX Shovelhead Service Manuel,48-0645,
80914,Forging Number Plate with Neck Extension Set,51-0063,
55629,FRAME MOUNT SLIDER CHACHO BLUE,750-03026,
55631,FRAME MOUNT SLIDER CHACHO BRONZE,750-03028,
55627,FRAME MOUNT SLIDER CHACHO GOLD,750-03022,
55630,FRAME MOUNT SLIDER CHACHO PURPLE,750-03027,
55628,FRAME MOUNT SLIDER CHACHO RED,750-03023,
57248,"FREWAY BARS 1.25"" BLACK SPORTSTER 04-22",82-96420,
57249,"FREWAY BARS VBEND 1.25"" BLACK SPORTSTER 04-22",82-96421,
91868,Friction Spring Throttle Tension Screw,35-1768,
83042,Front Cone Nut Kit Cadmium,9303-2,
55245,FRONT DOCKING KIT CHROME FLH/FLT 97-08,82-96550,
81046,Front Engine Brake Strap,51-0471,
82889,Front or Rear Disc Bolts with Nuts for Single Disc,8739-10,
56149,FRONT PLATE CARBON,561-3590C,
55054,FRONT PLATE MATTE BLACK,561-3590M,
73896,Front Rocker Plate Stud Kit,3431-24,
95215,Front Rocket Stud Nut Lock,49-2635,
93030,Front Spark Wire Clamp,37-9238,
75041,"Front Stand Spring, Spacer and Washer Set",3631-6,
83477,Guide Collar Set,11-0812,
74387,G-WL 2 Bolt Manifold Zinc,35-1288,
24343,Hang Tags/Tagger Locks,99040922,
82816,Hardware Dress Up Kit Cadmium,8319 CAD,
87089,Headbolt Chrome,2055-1,
83031,Headbolt Cover Kit Chrome Acorn Type,9110-9,
61277,Head Breather Stud Zinc,12-1763,
75466,Head Screw,37-4050,
87281,Head Stud Set Parkerized,2183-16,
57250,HEATHSHIELD BLACK SPORTSTER 14-22,82-96423,
57082,HEAVEY HITTERS 3.0 BAG GAURDS 25-26 SOFTAIL,750-03142,
82142,Helicpoter Mechanic Toy,68-0052,
82102,Henderson Greeting Card,68-0022,
82606,Hex Head Pulley Bolts Zinc Plated 7/16 inch-14 x 1-5/8 inch,73-0403,
77038,Hex Reducing Nipple Fitting,40-0609,
499812,Hex Stem Nut 1 inch-24 Black,24-3094,
499798,Hex Stem Nut 1 inch-24 Chrome,24-2776,
70309,Hi-Low Beam Switch Relay,32-0448,
90169,Hitachi Starter Field Coil Set,32-0308,
62251,Hose Clamp,16-0084,
62252,Hose Clamp,16-0085,
74652,Hose Clamp Assortment Set,35-6240,
74101,Hose Clamp Assortment Set,35-0472,
85733,Hose Clamp Crimping Plier,16-0050,
77203,Hose Forming Coil Set,40-1506,
77204,Hose Forming Coil Set,40-1507,
91845,Idle Mixture Screw,35-1258,
59141,Idler Stud Spacer Set,10-0832,
506530,Ignition Breaker Kit,32-2961,
79380,inchHow to Restore Your Military Harley-Davidson 1932-1952,48-1393,
60030,"INTAKE GUIDE STANDARD, CAST",11-0966,
86338,Internal Spline Washer,17-1305,
68175,ISO Mount Stud with Spring 1/4 inch x 20,28-0418,
85476,James Rocker Cover Breather Seal,15-1448,
84715,James Super Nut Seal,14-0685,
63161,Kick Cover Filler Plug,17-1869,
62877,Kick Cover Lever Bushing Zicad Plated,17-0354,
519004,Knucklehead 1940-1947 Repair Manual,48-0501,
61219,Knucklehead Breather Stud Kit,12-0997,
70189,Knuckle Nut Set Cadmium Plated,3190-4,
70188,Knuckle Nut Set Chrome Plated,3189-4,
70190,Knuckle Nut Set Parkerized,3191-4,
72606,LED Stop Lamp,33-2241,
91405,Left Bearing Bushing Screws,3375-3,
56160,LICENSE SUPPORT `18-25 SCOUT BOBBER,561-9741BK,
63033,Lock and Ring Kit,17-0926,
63035,Lock Tab Assortment,17-0940,
94883,Long Headbolt,49-0276,
76170,Lower Left Outer Tank shifter Tab,38-0848,
82605,M8 x 1.25 Flange Nut Zinc,73-0402,
27653,Magic Power Blocks™,21130318,
86300,Main Bearing Race .002,17-1137,
63083,Main Bearing Race .005,17-1138,
86301,Main Bearing Race .010,17-1139,
63082,Main Bearing Race Standard,17-1136,
82674,Manifold Nipple Kit Weld-On Type,7627-4,
66007,Mega Neck Cup Set Zinc Plated,24-0308,
42628,MULTIBARBAR RUBBER PAD KIT 2/PC,830-6008,
