sku,product_name,product_url,price,oem_no,fitment_raw,description,uom,finish,manufacturer,origin,catalog_pages,replacement_items,tech_note,extra_attributes,source,error
16-1839,Jims Crank Assembly Removal Tool,https://www2.vtwinmfg.com/jims-crank-assembly-removal-tool.html,$331.37,,All models,"This removal tool is used to press flywheels from cases, press cases apart and break the sealant bond easily and safely.",1 - EA,,Jims,USA,1291,,,,product_page,
40-0875,Crankcase Breather Vent Canister Chrome,https://www2.vtwinmfg.com/crankcase-breather-vent-canister-chrome.html,$44.66,,Custom application,Crankcase breather vent canister features replaceable umbrella valve. Caniseter includes one umberella valve.,1 - EA,,Wyatt Gatling,Imported,403,14-0925 - V-Twin Umbrella Head Seal,,"{""Measurements"": ""Nipple I.D.: .311\"" Nipple O.D.: .402\"" Nipple Length: 3/4\"""", ""Nipple I.D.: .311\"""": ""Nipple O.D.: .402\""""}",product_page,
16-0705,Snap Ring Remover Tool,https://www2.vtwinmfg.com/snap-ring-remover-tool.html,$157.61,,FXD 1991-1998 | FLT 1990-1998 | FXST 1990-1998 | FLST 1990-1998 | FXR 1990-1994,Snap ring remover tool will remove the Timken bearing outer race snap ring without damage to the case. You can replace the snap ring in Big Twin cases without the fear of gouging the aluminum on the cases.,1 - EA,,Jims,USA,1293,,,,product_page,
16-0029,Connecting Rod Clamping Tool,https://www2.vtwinmfg.com/connecting-rod-clamping-tool.html,$89.73,95952-33,All models,Replica connecting rod clamping tool,1 - EA,,Motorshop,Imported,1299,"37-1045 - Thumb Screw Zinc 3/8-16 x 2""",Allows rod to be held for straightening or to replace wrist pin bushing,,product_page,
16-0501,Engine Stand,https://www2.vtwinmfg.com/engine-stand.html,$67.72,,FXD 1991-1998 | FL 1941-1984 | FXST 1984-1998 | EL 1936-1940 | FX 1971-1984 | FLST 1986-1998 | FXR 1982-1994 | FLT 1979-1998,Engine stand is to be used with Big Twin engines. *NOTE: Does not use an auto engine stand.,1 - EA,,Motorshop,Imported,1289,,,"{""Measurements"": ""Bottom to top Height: 8-1/4\""""}",product_page,
16-1850,Shaft Turning Tool,https://www2.vtwinmfg.com/shaft-turning-tool-1.html,$35.52,,FLST 1986-2005 | FXD 1991-2005 | FX 1971-1984 | FXST 1984-2005 | FL 1955-1984 | FXR 1982-2005 | FLT 1979-2005,"Shaft turning tool allows engine to be turned over by 1/2"" ratchet or impact driver. Spline type for TC models.",1 - EA,,Motorshop,Imported,,,,,product_page,
16-0135,Crankcase Main Bearing Lap Tool,https://www2.vtwinmfg.com/crankcase-main-bearing-lap-tool.html,$707.92,96710-40,FXD 1991-1998 | XL 1957-1976 | FL 1941-1984 | FXST 1984-1998 | EL 1936-1940 | UL 1937-1948 | FLST 1986-1998 | FXR 1982-1994 | FLT 1979-1998,"Crankcase main bearing lap tool is used to lap right and left crankcase races for oversized bearings. Crankcase lapping tools developed by Gil May of Eastern Motorcycle Parts in Amityville, Long Island, NY in 1976. Gil was the first to reporduce replacement motor parts, such as: crank pins, tappet and case races. These parts requried the proper tree material, heat treating and precision grinding.                                                                                                 Quality Pays - It Don't Cost! - Gil's Motto",1 - EA,,Eastern,Imported,1292,,,,product_page,
10-1875,Panhead/Shovelhead Motor Case Set,https://www2.vtwinmfg.com/panhead-shovelhead-motor-case-set-10-1875.html,"$1,811.74",,FL 1965-1969,"Panhead/Shovelhead motor case set for flat side models with cast aluminum inner primary cover. Set includes tapered bearing assembly for left side and case race on right side. For standard bore cylinders 74"" or 80"". Accepts Shovelhead OHO line to the heads. Set accept cast inner cover as original 1965-1969 FLH models. Standard bore cases accept 74"" or 80"" cylinders and 3.680"" for cylinder spigot. May be fitted with a tin inner primary cover. Bore to fit Y oil line.",1 - EA,,Motorshop,Imported,,,,,product_page,
16-1728,Pushrod Cover Clip Tool,https://www2.vtwinmfg.com/pushrod-cover-clip-tool.html,$20.87,,XL 1957-2003 | FXD 1991-2017 | FL 1941-1984 | FXST 1984-2017 | EL 1936-1940 | FX 1971-1984 | FLT 1979-UP | FXR 1982-1994 | FLST 1986-2017,Sifton pushrod cover compressor tool allows removal and installation of pushrod clip.,1 - EA,,Sifton,Imported,1296,,,,product_page,
15-0659,V-Twin Cam Gear Change Gasket Kit,https://www2.vtwinmfg.com/v-twin-cam-gear-change-gasket-kit.html,$27.45,,FXST 1984-1992 | FLST 1986-1992 | FLT 1979-1992 | FXD 1991-1992 | FX 1971-1984 | FL 1970-1984 | FXR 1982-1992,Cam gear change gasket kit,1 - KIT,,Gary Bang,USA,204,15-0123 - V-Twin Cam Cover Gaskets 14-0513 - Pushrod Quad Seal 15-1032 - Twins Point Cover Gasket,,,product_page,
8150-12,Cadmium Cam Cover Stock Slotted Screws,https://www2.vtwinmfg.com/cam-cover-stock-slotted-screws-cadmium.html,$23.83,,FL 1941-1969 | EL 1936-1940,"Cam cover screws, cadmium finish, 24 thread.",1 - KIT,Cadmium,Colony,USA,503,,,,product_page,
10-1315,8-Finned Panhead Cam Cover Polished,https://www2.vtwinmfg.com/natural-forged-steel-cam-cover.html,$307.86,,FL 1948-1953 | EL 1948-1953,"8-finned type cam cover for Big Twin models includes bushings installed and welch plugs installed in the top and rear with a polished finish. Cover accepts 1/4"" generator screws and include early pinion shaft bushing installed. Cam cover accepts 1/4""-24 generator screws. Cam cover bushings must be checked and fitted (reamed) for final assembly. Check end play as well. Make sure oil passages and oil feed holes in bushings are clear. Tapered screw holes may require a deeper counter sink, check with screw head before installation. May require some modification for proper fitment. *NOTE: Check oil passage (drilled hole) into bronze bushings, either on existing bushings or when replacing bushings. Cam cover is specific for 1951-late 1952 models, but will fit 1948-1953 Overhead Valve 61"" and 74"". Generator holes for 32E 6 volt 2 brush generators are 1/4"" on Pre-1957 models and 5/16"" on 1958-1969 models. *NOTE: Dense material blank forged from 1 piece billet, as original Alcoa construction.",1 - EA,Polished,V-Twin,Imported,510,,"*NOTE: Final reaming for fit should be completed with cover on the right side case, reamed from the left side.",,product_page,
10-0126,Panhead 4-Finned Cam Cover Chrome,https://www2.vtwinmfg.com/chrome-forge-steel-cam-cover.html,$320.16,25216-58,FL 1954-1962,"Panhead cam cover for Big Twin models includes installed cam bushings and is constructed of forged aluminum steel with a chrome finish and a 4-finned design. Cam cover bushings must be checked and fitted (reamed) for final assembly. Include 1954-62 type pinion bushing OEM#25585-54. Check end play as well. *NOTE: Builder can use a cam cover and change the cam bushing. *NOTE: Check oil passage (drilled hole) into bronze bushings, either on existing bushings or when replacing bushings. Genarator holes are drilled 5/16"" for 2 brush generators.",1 - EA,Chrome,Motorshop,Imported,510,,"*NOTE: Final reaming for fit should be completed with cover on the right side case, reamed from the left side.",,product_page,
10-0334,Cam Chest Assembly Kit Panhead,https://www2.vtwinmfg.com/cam-chest-assembly-kit-panhead-2.html,$620.18,,FL 1963-1965,Panhead cam chest kit includes a natural finish cam cover and all internal parts. NOTE: Check the pinion and cam gears tolerance during assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                     *NOTE: Cam bearing not in kit. The bushings may need to be reamed/honed to size if they are too tight.,1 - KIT,,Motorshop,Imported,511,12-0915 - Idler and Circuit Breaker Snap Ring 12-1279 - Inner Primary Cover Bearing 12-0102 - Pinion Shaft 4 Piece Parts Kit 12-1510 - Cam Chest Breather Valve Washer Set,,"{""Measurements"": ""Idler Stud Hole: .5345 Pinion Bushing: .5515"", ""Idler Stud Hole: .5345"": ""Pinion Bushing: .5515""}",product_page,
8605-16T,Nickel Plated Tappet Block Screw Set,https://www2.vtwinmfg.com/nickel-plated-tappet-block-screw-set.html,$19.66,,FL 1948-1984,Lifter base hex head screw set without taper. Screws measure 1-4-24 x 7/8. Choose the correct thread type for your application. This set is for use on late model lifter blocks without tapered holes.,1 - KIT,Zinc,V-Twin,Imported,,,,"{""Measurements"": ""Thread: 1/4\""-24""}",product_page,
10-1209,Knucklehead Engine Case Set,https://www2.vtwinmfg.com/knucklehead-engine-case-set-4.html,"$1,751.61",,FL 1941-1947 | EL 1937-1947,"2023 New Production motor case set features a blank number boss, there are no serial numbers on the case. Sold with Bill of Sale only. Includes the welch plug, and the right and left case races installed as original! Oil from top end returns through pushrod tubes. Does not return through cylinder base. Case accepts loose roller bearings on the sprocket and pinion shaft side. Case set required line lapping of the main case races. Case set is designed for replacement of the original cases. Case sets do not include pinion and sprocket shaft races.                                                                                                                                                                       *NOTE: Case races should be line bored to 1.500"" to accept standard rollers. Use 2 gaskets when mounting the oil pump body for proper clearance.  **NOTE: Numeral ""7"" stamped on rear motor mount halves, to denote 74 cubic inch. Builder may stamp these numbers in. *NOTE: Must order the following required components separately: cam, distributor gear, breather gear, pump and bushing.",1 - SET,,V-Twin,Imported,531,,,,product_page,
8761-7,Cam Cover Allen Screw Kit Chrome,https://www2.vtwinmfg.com/cam-cover-allen-screw-1.html,$17.33,,FXST 1984-1992 | FLST 1986-1992 | FXR 1984-1992 | FX 1971-1984 | FL 1970-1984 | FLT 1984-1992,Chrome cam cover allen screw kit.,1 - KIT,Chrome,Colony,USA,34,,,,product_page,
9305-7,Cam Cover Screw Kit Chrome,https://www2.vtwinmfg.com/cam-cover-screw-kit-chrome.html,$15.30,,FXST 1984-1992 | FLST 1986-1992 | FLT 1979-1992 | FXD 1991-1992 | FX 1971-1984 | FL 1970-1984 | FXR 1982-1992,Chrome cam cover screw kit.,1 - KIT,Chrome,Colony,USA,34,,,,product_page,
10-0068,4-Fin Panhead Cam Cover Cast,https://www2.vtwinmfg.com/4-finned-cam-cover-1.html,$214.85,25216-58,FL 1957-1962,"Cast aluminum cam cover includes bushings and breather pipe. The cover has a stock natural finish, and is 4-finned. Cam cover bushings must be checked and fitted (reamed) for final assembly. Include 1954-62 type pinion bushing OEM#25585-54. Check end play as well. Make sure oil passages and oil feed holes in bushings are clear. Tapered screw holes may require a deeper counter sink, check with screw head before installation. Generator holes for 32E 6 volt 2 brush generators are 1/4"" on Pre-1957 models and 5/16"" on 1958-1969 models.                                                                                *NOTE: Cover is taller than the stock type by .020"" outer bushing lilp. Before installation, check the height of the cam bushing for interference with the distributor drive gear. Check oil passage (drilled hole) into bronze bushings, either on existing bushings or when replacing bushings. *NOTE: The oil hole in the cam bushing should be checked by the customer, may have to drill this hole.",1 - EA,Natural,Motorshop,Imported,503,10-0162 - Connecting Rod Roller Bearing Set .0004,"*NOTE: Final reaming for fit should be completed with cover on the right side case, reamed from the left side.",,product_page,
10-0365,Replica 3-Hole Crank Pin,https://www2.vtwinmfg.com/replica-3-hole-crank-pin.html,$101.41,23960-29,G 1937-1973 | WL 1937-1952,"Replica crank pin with 3 holes are made of 8620 steel with .062 heat penetration. *NOTE: Check technical notes before ordering. The distance measured from the edge, not including threads, is 2.516"".",1 - EA,,Eastern,USA,812,,Must align oil feed in flywheels with crank pin. OEM used   2 different flywheels so hole locations may be different.   Oiling hole is 54° away from keyway,,product_page,
10-0336,Crank Pin Nut and Lock Kit,https://www2.vtwinmfg.com/crank-pin-nut-and-lock-kit-2.html,$30.29,,FL 1941-1953,"Includes 2 nuts, 2 locks, and mount screws. Nuts and locks are also available separately.",1 - KIT,,Motorshop,USA,499,12-0573 - Crank Pin Nut Set 17-0914 - Crank Pin Nut Lock Plate,,,product_page,
16-0325,V-Twin Flywheel Truing Tool,https://www2.vtwinmfg.com/jims-flywheel-truing-tool.html,$627.76,,All models,V-Twin flywheel truing tool is to tune flywheel assemblies when truing. This tool features both a flywheel expander and contractor in one easy to use package. Use on all tapered shaft flywheel assemblies.,1 - EA,,V-Twin,Imported,1291,,,,product_page,
16-1810,Crank Flywheel Nut Socket Tool,https://www2.vtwinmfg.com/crank-flywheel-nut-socket-tool-1.html,$120.33,23969-83,FX 1983-1984 | FLST 1986-1986 | FXST 1984-1986 | FL 1983-1984 | FLT 1983-1984 | FXR 1983-1986,"The Jims flywheel nut socket features a low profile to give 100% nut contact, machined flat at nut receiving end to eliminate rounding off the nut. Fits 1/2"" Drive.",1 - EA,,Jims,USA,1291,,,,product_page,
10-2572,3-Hole Crank Pin Kit,https://www2.vtwinmfg.com/3-hole-crank-pin-kit.html,$167.60,,XL 1957-1980,"Crank pin kit includes crank pin, rod races, standard rod rollers, and retainers.",1 - KIT,,Sifton,Imported,857,10-0550 - 3-Hole Crank Pin 10-0137 - Connecting Rod Race Set,,,product_page,
