"sku","product_name","product_url","price","oem_no","fitment_raw","description","uom","finish","manufacturer","origin","catalog_pages","replacement_items","tech_note","extra_attributes","source","error"
"10-0030","S&S Stock Bore Engine Crankcase Set","https://www2.vtwinmfg.com/s-s-stock-bore-engine-crankcase-set-1.html","$1,876.72","","FL 1966-1969","Crankcase set for 1965-1969 Big Twin Shovelhead engine comes ready to assemble. S&S crankcase sets are shipped set up with Timken left side bearing and race assembly, seal and seal spacer, oil pump drive bushing, needle bearing and pinion race for right side is pressed in and line honed, ready to assemble. Also included are cylinder studs, nickel plated case bolts, crankcase fittings and a timing & magnetic drain plug. Engine crankcase has stock bore and accepts flywheels up to 8½"" diameter. Manufacturer's Statement of Origin is supplied.","1 - KIT","","S&S Cycle","USA","494","","Order #12-8001 oil pump, required for assembly","","product_page",""
"10-0040","Chrome Nose Cone Cam Cover","https://www2.vtwinmfg.com/chrome-nose-cone-cam-cover.html","$195.50","25268-84A","FXST 1984-1992 | FLST 1986-1992 | FLT 1979-1992 | FXD 1991-1992 | FX 1973-1984 | FL 1973-1984 | FXR 1982-1992","Cam cover features installed bushings. Cover includes seal, gaskets and mounting screws.","1 - EA","Chrome","Motorshop","Imported","34","","","","product_page",""
"10-0065","8-Finned Knucklehead Cam Cover Die Cast","https://www2.vtwinmfg.com/8-finned-cam-cover.html","$266.69","25216-36","EL 1936-1947 | FL 1941-1947","8-finned cam cover includes bushings and breather pipe with a stock die cast finish. Cam cover bushings must be checked and fitted (reamed) for final assembly. Check end play as well. Make sure oil passages and oil feed holes in bushings are clear. Tapered screw holes may require a deeper counter sink, check with screw head before installation.                                                                          *NOTE: Check oil passage (drilled hole) into bronze bushings, either on existing bushings or when replacing bushings.                                                                                                     Generator holes for 32E 6 volt 2 brush generators are 1/4"" on Pre-1957 models and 5/16"" on 1958-1969 models.","1 - EA","Natural","Motorshop","Imported","503","","*NOTE: Final reaming for fit should be completed with cover on the right side case, reamed from the left side.","","product_page",""
"10-0066","8-Finned Panhead Cam Cover Natural","https://www2.vtwinmfg.com/8-finned-cam-cover-1.html","$223.85","25216-48","FL 1948-1953 | EL 1948-1953","Cam cover includes bushings and breather pipe. 8-finned cover has a natural finish. The bushings are for the early pinion shaft. Cam cover accepts 1/4""-24 generator screws. Cam cover bushings must be checked and fitted (reamed) for final assembly. Check end play as well. Make sure oil passages and oil feed holes in bushings are clear. Tapered  screw holes may require a deeper counter sink, check with screw head before installation. For final fit, the cover must be reamed to make the bushing inner diameter in line with bearing in the right hand case. *NOTE: Check oil passage (drilled hole) into bronze bushings, either on  existing bushings or when replacing bushings.                                                      Generator holes for 32E 6 volt 2 brush generators are 1/4"" on Pre-1957 models and 5/16"" on 1958-1969 models.","1 - EA","Natural","Motorshop","Imported","503","","*NOTE: Final reaming for fit should be completed with cover on the right side case, reamed from the left side.","","product_page",""
"10-0077","Flatside Smooth Style Cast Cam Cover","https://www2.vtwinmfg.com/flatside-smooth-style-cast-cam-cover.html","$288.36","25216-65","FL 1963-1965","Cast finish smooth style accepts oil passage bolt. Cover features natural cast finish, as original! For overhead oiling systems. Cam cover bushings must be checked and fitted (reamed) for final assembly. Check end play as well. Make sure oil passages and oil feed holes in bushings are clear. Tapered screw holes may require a deeper counter sink, check with screw head before installation. May require some modification for proper fitment.                         *NOTE: Check oil passage (drilled hole) into bronze bushings, either on existing bushings or when replacing bushings.                                               *NOTE: Order oil passage bolt and cam cover screws separately.                                                                       Generator holes for 32E 6 volt 2 brush generators are 1/4"" on Pre-1957 models and 5/16"" on 1958-1969 models.","1 - EA","Natural","Motorshop","Imported","503","","Suggested to use with #9795-12 Cam Cover Screw Kit Cadmium. *NOTE: Final reaming for fit should be completed with cover on the right side case, reamed from the left side.","","product_page",""
"10-0079","Smooth Flatside Style Cast Cam Cover","https://www2.vtwinmfg.com/flatside-style-smooth-cast-cam-cover.html","$269.46","25216-66","FL 1966-1969","Replica cast cam cover flatside style constructed of natural aluminum with bushings installed. Cover features natural cast finish, as original! For Shovelhead models. Cam cover bushings must be checked and fitted (reamed) for final assembly. Check end play as well. Make sure oil passages and oil feed holes in bushings are clear. Tapered screw holes may require a deeper counter sink, check with screw head before installation. *NOTE: Check oil passage (drilled hole) into bronze bushings, either on existing bushings or when replacing bushings. Cover may be machined for OHO(overhead oiler) screw, as flatside smooth style cast cam cover is OHO type and required    oil feed bolt.                                      Generator holes for 32E 6 volt 2 brush generators are 1/4"" on Pre-1957 models and 5/16"" on 1958-1969 models. *NOTE: Not drilled for oil passage bolt.","1 - EA","Natural","Motorshop","Imported","510","","*NOTE: Final reaming for fit should be completed with cover on the right side case, reamed from the left side.","","product_page",""
"10-0088","Polished Nose Cone Cam Cover","https://www2.vtwinmfg.com/polished-nose-cone-cam-cover.html","$210.80","25268-84A","FXST 1984-1992 | FLST 1986-1992 | FLT 1979-1992 | FXD 1991-1992 | FX 1973-1984 | FL 1973-1984 | FXR 1982-1992","Cam cover features bushings installed. Comes with mounting screws, gasket and seal.","1 - EA","Polished","Motorshop","Imported","34","","","","product_page",""
"10-0090","Polished Nose Cone Cam Cover","https://www2.vtwinmfg.com/polished-nose-cone-cam-cover-1.html","$194.15","","FX 1971-1973 | FL 1970-1973","Cam Cover fits 1970-1973 Big Twin with side oiling pinion shaft with seal. Cover is installed with bushings.","1 - EA","Polished","Motorshop","Imported","511","","","{""Measurements"": ""Small Bushing: .523\"" Large Bushing: .9115\"""", ""Small Bushing: .523\"""": ""Large Bushing: .9115\""""}","product_page",""
"10-0095","Chrome Tappet Block Set","https://www2.vtwinmfg.com/chrome-tappet-block-set.html","$211.92","18600-66B","FLT 1979-1983 | FX 1971-1984 | FL 1948-1984 | FXR 1982-1983","Front and rear cast iron tappet block. Set is sold in a quanity of 2. Order gasket kit and seals separately.","1 - SET","Chrome","Motorshop","Imported","519","","","","product_page",""
"10-0104","Knucklehead Engine Case Set","https://www2.vtwinmfg.com/knucklehead-engine-case-set.html","$1,522.21","","FL 1941-1947 | EL 1937-1947","Motor case set features a blank number boss, there are no serial numbers on the case. Sold with Bill of Sale only. Oil from top end returns through pushrod tubes. Does not return through cylinder base. Case accepts loose roller bearings on the sprocket and pinion shaft side. Case set required line lapping of the main case races. Order case race available separately. Case set is designed for replacement of the original cases. Case sets do not include pinion and sprocket shaft races.                                                                                                                                 *NOTE: Case races should be line bored to 1.500"" to accept standard rollers. Use 2 gaskets when mounting the oil pump body for proper clearance.  **NOTE: Numeral ""7"" stamped on rear motor mount halves, to denote 74 cubic inch. Builder may stamp these numbers in. *NOTE: Must order the following required components separately: cam, distributor gear, breather gear, pump and bushing.","1 - SET","","Motorshop","Imported","531","","*NOTE: To confirm the main bearing fitment clearance, you   must take the standard bearing measurement and multiply it  by 2, then add that answer to the left side sprocket shaft meaurement. For example, the standard bearing measures .250,multiplied by 2 equals .500. The left side sprocket shaft   measures 1.000, adding them together you get 1.500, which means you're running 1.501 fitment with .001 clearance. Required to use with #10-8215 Lightning Knucklehead Cam     Shaft. Required to use with #12-1502 Distributor Drive Gear. Required to use with #12-1947 Replica Oil Pump Assembly. Required to use with #10-0714 Cam Case Bushing.","","product_page",""
