OEM#,WPS#,Vendor,Vend#
3,274-0160,Accel,2401
738,681-4572,James Gaskets,JGI-738
5710,830-1198,Colony,9912-2
6007,68-9498,Cometic Gaskets,C9498
6007,681-4691,James Gaskets,JGI-6007
6007,681-4728,James Gaskets,JGI-6007-X
6033,681-5474,James Gaskets,JGI-6033
6057,681-4638,James Gaskets,JGI-6057
6114,68-9400,Cometic Gaskets,C9400
6156,681-4867,James Gaskets,JGI-6156
6377,681-4868,James Gaskets,JGI-6377
6581,681-4869,James Gaskets,JGI-6581
6737,681-4472,James Gaskets,JGI-6737
7019,681-5432,James Gaskets,JGI-7019
7078,681-4313,James Gaskets,JGI-7078
7402,681-4948,James Gaskets,JGI-7402
7652,830-1142,Colony,2293-1
7839,830-1138,Colony,2285-1
8010,830-1146,Colony,2376-1
8011,830-1140,Colony,2287-1
8866,681-4523,James Gaskets,JGI-8866
9208,22-81204,All Balls Racing,28-1204
9247,22-51394,All Balls Racing,25-1394
9267,22-51368,All Balls Racing,25-1368
9276,22-51405,All Balls Racing,25-1405
9276,22-51571,All Balls Racing,25-1571
9898,850-08481,Namz,NIS-BFC
9904,850-08484,Namz,NHD-9904
9905,850-08485,Namz,NHD-9905
9952,850-08441,Namz,NHD-9952
11002,681-4520,James Gaskets,JGI-11002
11100,681-5525,James Gaskets,JGI-11100
11101,68-9451,Cometic Gaskets,C9451
11101,681-4810,James Gaskets,JGI-11101
11102,681-5684,James Gaskets,JGI-11102
11103,68-9458,Cometic Gaskets,C9458
11103,681-5655,James Gaskets,JGI-11103
11106,681-5641,James Gaskets,JGI-11106
11107,68-9452,Cometic Gaskets,C9452
11107,681-4895,James Gaskets,JGI-11107
11110,68-9448,Cometic Gaskets,C9448
11110,681-5305,James Gaskets,JGI-11110
11113,68-9460,Cometic Gaskets,C9460
11113,681-5451,James Gaskets,JGI-11113
11114,681-4982,James Gaskets,JGI-11114
11115,68-9529,Cometic Gaskets,C9529
11115,681-4983,James Gaskets,JGI-11115
11116,68-9433,Cometic Gaskets,C9433
11116,681-5473,James Gaskets,JGI-11116
11117,68-9484,Cometic Gaskets,C9484
11117,681-4687,James Gaskets,JGI-11117
11118,68-9711F,Cometic Gaskets,C9711
11119,68-9455,Cometic Gaskets,C9455
11119,681-5654,James Gaskets,JGI-11119
11120,68-9961,Cometic Gaskets,C9961
11120,681-4185,James Gaskets,JGI-11120
11124,681-5387,James Gaskets,JGI-11124
11124,681-5388,James Gaskets,JGI-11124-DL
11125,68-9536,Cometic Gaskets,C9536
11125,681-4947,James Gaskets,JGI-11125
11132,68-9459,Cometic Gaskets,C9459
11132,681-4468,James Gaskets,JGI-11132
11133,68-9461,Cometic Gaskets,C9461
11133,681-4812,James Gaskets,JGI-11133
11139,68-9446,Cometic Gaskets,C9446
11139,681-5470,James Gaskets,JGI-11139
11140,681-4731,James Gaskets,JGI-11140
11145,681-4470,James Gaskets,JGI-11145
11145,681-4471,James Gaskets,JGI-11145-X
11147,68-9441,Cometic Gaskets,C9441
11147,681-4625,James Gaskets,JGI-11147
11148,68-9357,Cometic Gaskets,C9357
11148,681-4688,James Gaskets,JGI-11148
11156,681-5014,James Gaskets,JGI-11156
11157,681-4469,James Gaskets,JGI-11157
11159,681-4517,James Gaskets,JGI-11159
11161,681-5452,James Gaskets,JGI-11161
11162,68-9495,Cometic Gaskets,C9495
11162,681-4680,James Gaskets,JGI-11162
11165,68-9361,Cometic Gaskets,C9361
