id,sku,name,description,brand,category,price,cost,weight,dimensions,stock_quantity,created_at,updated_at,manufacturer_part_number,vendor_codes,map_price,msrp,status,product_type,unit_of_measurement,upc,has_map_policy,drop_ship_eligible,is_active,source_vendor,pricing_rule_id,computed_price,margin_percent,last_priced_at,slug,is_discontinued,product_features,oem_part_number,country_of_origin
266448,17103030,ROTOR BRAKING ST WF7508,ROTOR BRAKING ST WF7508,BRAKING,Brakes,86.80,86.80,1.650,,4,2026-04-01 19:20:08.288252,2026-04-06 17:00:01.001067,WF7508,{pu},86.8,144.95,,,,,f,f,t,pu,1,108.50,15.00,2026-04-02 15:23:06.661564+00,rotor-braking-st-wf7508-17103030,f,,,
1951453,58-2222,Mirror Adaptor,,HIGHSIDER,Mounts/Brackets,7.49,0.94,0.086,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NLA,Mounts/Brackets,,,f,f,t,wps,,,,,mirror-adaptor-58-2222,f,<ul><li>Highsider mirror adapters</li></ul>,,
1934659,27-10903,3-Snap Flip Shield,,ECHO,Helmet Accessories,19.95,12.99,0.390,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,STK,Helmet Accessories,,,f,f,t,wps,,,,,3-snap-flip-shield-27-10903,f,<ul><li>Optically correct</li><li>Anti-scratch adjustable universal fit</li><li>Use with open face or half helmets</li><li>Excellent impact strength</li><li>Multi-position ratchet adjustable shield</li><li>Lock-down riding position</li></ul>,,
338802,37050044,ENGINE ICE / PURE PERFORMANCE,ENGINE ICE / PURE PERFORMANCE,ENGINE ICE,Tire & Wheel,13.30,13.30,4.550,,100,2026-04-01 20:31:31.823427,2026-04-06 17:00:01.001067,13388,{pu},13.3,22.99,,,,,f,f,t,pu,1,16.13,15.02,2026-04-02 15:23:06.661564+00,engine-ice-pure-performance-37050044,f,,,
398542,DS242165,COP.PLUG WIRES 71-E78 XL,COP.PLUG WIRES 71-E78 XL,BLUE STREAK,Electrical,18.20,18.20,0.400,,10,2026-04-01 22:00:45.257534,2026-04-06 17:00:01.001067,MCSPW2,{pu},18.2,27.95,,,,,f,f,t,pu,1,22.75,14.99,2026-04-02 15:23:06.661564+00,cop-plug-wires-71-e78-xl-ds242165,f,,,
334401,351519002,SPROCKET SKI-DOO 13W-19T,SPROCKET SKI-DOO 13W-19T,VENOM PRODUCTS,Sprockets,58.50,58.50,0.460,,0,2026-04-01 20:25:37.358769,2026-04-06 17:00:01.001067,351519002,{pu},58.5,89.95,,,,,f,f,t,pu,1,73.13,15.00,2026-04-02 15:23:06.661564+00,sprocket-ski-doo-13w-19t-351519002,f,,,
1946849,56-7101BP,Flo Stainless Steel Oil Filter,,PCRACING,Oil Filters,159.95,111.99,0.640,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,STK,Oil Filters,,,f,f,t,wps,,,,,flo-stainless-steel-oil-filter-56-7101bp,f,"<ul><li>Reusable filters made from type 304 stainless steel micronic filter cloth</li><li>Filters down to 35 microns</li><li>Maintains consistent flow under all conditions including cold start ups, the presence of water, and extreme heat (up to 600 degrees)</li><li>Anodized aluminum housing looks great and helps dissipate heat</li></ul>",,
1937516,691-0920,RTG Sealed Chain,,SUNSTAR,Chains,231.95,147.99,5.770,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NLA,Chains,,,f,f,t,wps,,,,,rtg-sealed-chain-691-0920,f,"<ul><li>Utilizes Sunstar's exclusive TG-ring (TripleGuard) where the ring seals with 3 lips per side for the ultimate in heat prevention and keeping the chain lubricated even in extremely harsh conditions</li><li>The 520RTG1 is the perfect choice for racing / performance oriented applications with 520 chain size.  With a tensile strength of 9900 lbs, the 530RTG1 is intended for the large displacement sport machines like Ninja 1400, GSX1300R Hayabusas and others</li><li>Color option: Gold</li><li>Uses rivet type connecting link</li></ul>",,
304777,25030366,BALACLAVA LIGHT BK,BALACLAVA LIGHT BK,ARCTIVA,Illumination,11.70,11.70,0.200,,40,2026-04-01 19:57:47.334058,2026-04-06 17:00:01.001067,25030366,{pu},11.7,18,,,,,f,f,t,pu,1,14.63,14.97,2026-04-02 15:23:06.661564+00,balaclava-light-bk-25030366,f,,,
243714,11400925,SPRING CLUTCH PRIMARY,SPRING CLUTCH PRIMARY,BIKEMAN PERFORMANCE,Suspension,20.90,20.90,0.300,,8,2026-04-01 18:58:54.738915,2026-04-06 17:00:01.001067,05170310,{pu},20.9,27.95,,,,,f,f,t,pu,1,24.04,15.01,2026-04-02 15:23:06.661564+00,spring-clutch-primary-11400925,f,,,
