id,sku,sku_normalized,vendor_sku,source_vendor,product_code,name,description,features,brand,category,subcategory,msrp,original_retail,cost,map_price,has_map_policy,ad_policy,dropship_fee,stock_quantity,warehouse_wi,warehouse_ny,warehouse_tx,warehouse_nv,warehouse_nc,in_stock,weight,height_in,length_in,width_in,uom,upc,country_of_origin,hazardous_code,truck_only,no_ship_ca,pfas,harmonized_us,image_url,image_urls,fitment_year_start,fitment_year_end,fitment_year_ranges,fitment_hd_families,fitment_hd_models,fitment_hd_codes,fitment_other_makes,is_harley_fitment,is_universal,in_oldbook,in_fatbook,drag_part,closeout,is_active,is_discontinued,oem_part_number,brand_code,enrichment_sku,oldbook_page,fatbook_page,part_add_date,slug,created_at,updated_at
53286,23100767,23100767,S231+6,WPS,,WINDSHIELD FXLRST TNT +6,WINDSHIELD FXLRST TNT +6,,SLIPSTREAMER,Windshield/Windscreen,,110.95,,65.10,65.10,f,f,,4,0,0,0,0,0,t,3.270,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,windshield-fxlrst-tnt-6-23100767,2026-04-10 12:47:53.608664+00,2026-04-10 12:47:53.608664+00
5127,2142730,2142730,2142730,WPS,,SPACER AXLE CHR LT 04-05 FXD,,,DRAG SPECIALTIES,General,,18.67,,11.23,18.67,f,f,,28,0,0,0,0,0,t,,,,,Each,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,spacer-axle-chr-lt-04-05-fxd-2142730,2026-04-10 12:47:32.053438+00,2026-04-10 12:47:32.053438+00
87766,850-08184,85008184,,WPS,,Amp/Delphi Mating Connectors,"Our AMP & Delphi OEM Connectors & Mating Connectors fit a variety of different bikes. The Mini-MCL connectors are found on throttle-by-wire models beginning in 2008 through 2015. A common failure, this connector kit is a must have for repairs down the road. The Superseal series was introduced in 2005, on the oxygen sensors, and the larger 5-position in 2007, on the Active Exhaust Sensor. Terminals crimp with the wire seal in place. NAMZ has the most complete collection of AMP & Delphi OEM Connectors & Mating Connectors in the industry. NAMZ is the only supplier where you can find mating connectors for many of them! All of our Delphi connectors come with terminals, TPA locks and wire seals for easy installation. OEM part numbers are provided for quick reference.",,NAMZ CUSTOM CYCLE,Electrical,,9.95,,6.47,,f,f,,0,0,0,0,0,0,f,0.050,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/ceed-600602ec61e46.jpeg,{http://cdn.wpsstatic.com/images/full/ceed-600602ec61e46.jpeg},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,amp-delphi-mating-connectors-850-08184,2026-04-10 12:48:09.728943+00,2026-04-10 12:48:09.728943+00
93463,81-0219,810219,,WPS,,Helmet & Visor Cleaner,,"{""<ul><li>Formulated using de-ionized water</li><li>PH neutral formula as recommended by helmet manufacturers</li><li>Free from solvents and harmful chemicals</li><li>100% biodegradable</li><li>Ideal for motorcycle goggles</li></ul>""}",MUC-OFF,Chemicals,,13.49,,8.11,,f,f,,0,0,0,0,0,0,f,0.640,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/1bbc-65553fe2a8101.jpg,{http://cdn.wpsstatic.com/images/full/1bbc-65553fe2a8101.jpg},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,helmet-visor-cleaner-81-0219,2026-04-10 12:48:13.247869+00,2026-04-10 12:48:13.247869+00
40363,17210471,17210471,DP953,WPS,,BRAKE PAD DP953,BRAKE PAD DP953,,DP BRAKES,Brakes,,49.95,,30.10,30.10,f,f,,4,0,0,0,0,0,t,0.380,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,brake-pad-dp953-17210471,2026-04-10 12:47:48.150317+00,2026-04-10 12:47:48.150317+00
96052,17-D9010X,17D9010X,,WPS,,WAVE ROTOR FRONT,,,GBRAKES,Brakes,,190.00,,133.00,,f,f,,0,0,0,0,0,0,f,1.000,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/4254-698fa802611dc.png,{http://cdn.wpsstatic.com/images/full/4254-698fa802611dc.png},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,wave-rotor-front-17-d9010x,2026-04-10 12:48:15.04793+00,2026-04-10 12:48:15.04793+00
86319,27-5836,275836,,WPS,,Dual USB Adaptor,,"{""<ul><li>Made exclusively for Harley-Davidson motorcycles</li><li>Will charge GPS,smartphones,tablets and other mall electronic devices</li><li>Adaptor replaces OEM cigarette lighter on 1992 and up models</li></ul>""}",KOSO,Electrical,,77.94,,54.56,,f,f,,0,0,0,0,0,0,f,0.100,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/a70c-5dcc49b2f41b9.jpg,{http://cdn.wpsstatic.com/images/full/a70c-5dcc49b2f41b9.jpg},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,dual-usb-adaptor-27-5836,2026-04-10 12:48:08.979011+00,2026-04-10 12:48:08.979011+00
28112,11314004,11314004,3039010081,WPS,,"CLUTCH KIT YAM TRACER 900/900GT, XSR900, MT-09, YZFR9","CLUTCH KIT YAM TRACER 900/900GT, XSR900, MT-09, YZFR9",,BARNETT,Clutch,,297.41,,178.45,178.45,f,f,,8,0,0,0,0,0,t,2.450,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,clutch-kit-yam-tracer-900-900gt-xsr900-mt-09-yzfr9-11314004,2026-04-10 12:47:42.985223+00,2026-04-10 12:47:42.985223+00
132275,303024498,303024498,12157221010XL,PU,C,Formulate CSF T-Shirt,Formulate CSF T-Shirt,"{""60% Combed Ring Spun Cotton / 40% Polyester"",""Soft hand print"",""Astars perforated logo at back and front chest logo art"",""Internal neck print, external labeling""}",ALPINESTARS,,,28.95,28.95,19.65,,f,t,9.75,19,19,0,0,0,0,t,0.540,0.470,13.980,11.220,EA,8059347510590,CN,,f,f,N,6109.10.0012,http://asset.lemansnet.com/z/LzkvNC81Lzk0NURCMjExLTJCOUItNDY4RS04NDZDLTAzRENBNjhERjI2NCwvRi9ELzEvRkQxM0RGMzgtMzQ4MS00OTQwLTk0NTMtMTk2OERCN0JEOTA5,{http://asset.lemansnet.com/z/LzkvNC81Lzk0NURCMjExLTJCOUItNDY4RS04NDZDLTAzRENBNjhERjI2NCwvRi9ELzEvRkQxM0RGMzgtMzQ4MS00OTQwLTk0NTMtMTk2OERCN0JEOTA5},,,,,,,,f,f,f,f,f,f,t,f,1215-72210-10-XL,,3030-24498,0,0,2024-06-17,formulate-csf-t-shirt-303024498,2026-04-10 12:48:37.482649+00,2026-04-10 12:48:37.482649+00
33962,13040664,13040664,01153302,WPS,,LINK LOWERING DEVOL KTM,LINK LOWERING DEVOL KTM,,DEVOL,Tire & Wheel,,229.95,,160.97,160.97,f,f,,34,0,0,0,0,0,t,0.650,,,,,,,,f,f,,,,,,,,,,,,f,f,f,f,f,f,t,f,,,,,,,link-lowering-devol-ktm-13040664,2026-04-10 12:47:45.375389+00,2026-04-10 12:47:45.375389+00
