id,sku,sku_normalized,vendor_sku,source_vendor,product_code,name,description,features,brand,category,subcategory,msrp,original_retail,cost,map_price,has_map_policy,ad_policy,dropship_fee,stock_quantity,warehouse_wi,warehouse_ny,warehouse_tx,warehouse_nv,warehouse_nc,in_stock,weight,height_in,length_in,width_in,uom,upc,country_of_origin,hazardous_code,truck_only,no_ship_ca,pfas,harmonized_us,image_url,image_urls,fitment_year_start,fitment_year_end,fitment_year_ranges,fitment_hd_families,fitment_hd_models,fitment_hd_codes,fitment_other_makes,is_harley_fitment,is_universal,in_oldbook,in_fatbook,drag_part,closeout,is_active,is_discontinued,oem_part_number,brand_code,enrichment_sku,oldbook_page,fatbook_page,part_add_date,slug,created_at,updated_at
78747,71-9102,719102,,WPS,,Wireless Headset,,"{""<ul><li>For use with the TPX Radar/Laser Detector main console</li><li>Alerts the rider to the detection of radar/laser signals by audio beeps through the earphone</li><li>Wireless, water resistant design easily attaches to most open or full face helmets</li><li>Can be used in conjunction with the TPX Visual Alert</li><li>Powered by a lithium coin cell battery (included)</li></ul>""}",ADAPTIV,Accessories,,76.99,,53.99,,f,f,,0,0,0,0,0,0,f,0.170,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/0bec-572a84f519e71.jpg,{http://cdn.wpsstatic.com/images/full/0bec-572a84f519e71.jpg},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,wireless-headset-71-9102,2026-04-10 12:48:05.067921+00,2026-04-10 12:48:05.067921+00
91637,57-095565,57095565,,WPS,,9809 Plus Chain,,"{""<ul><li>Level 12 security</li><li>9mm chain links</li><li>PLUS key is user friendly and highly pick resistant</li><li>Keyed alike to other PLUS motorcycle locks, key replaceable</li><li>Lock body and chain constructed from specially temper hardened steel</li><li>Black</li></ul>""}",ABUS,Security,,154.95,,101.99,,f,f,,0,0,0,0,0,0,f,5.732,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/3e13-63a6171b7b4fc.jpeg,{http://cdn.wpsstatic.com/images/full/3e13-63a6171b7b4fc.jpeg},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,9809-plus-chain-57-095565,2026-04-10 12:48:12.288405+00,2026-04-10 12:48:12.288405+00
128149,26110316,26110316,6202310201,PU,C,LENS SPEEDTRAP SMK,,,100%,,,40.00,40.00,24.00,,f,f,9.75,13,0,0,0,13,0,t,1.000,2.500,11.000,5.000,PR,841269178587,CN,,f,f,N,3926.90.9985,,,,,,,,,,f,f,f,f,f,f,t,f,6202310201,,,0,0,2020-11-19,lens-speedtrap-smk-26110316,2026-04-10 12:48:34.415507+00,2026-04-10 12:48:34.415507+00
79335,810-4141,8104141,,WPS,,Kolene Steel Plate Pack,,,ALTO,Clutch,,45.95,,28.99,,f,f,,0,0,0,0,0,0,f,1.150,,,,,,,,f,f,,,http://cdn.wpsstatic.com/images/full/a584-65cce6ef6d52d.png,{http://cdn.wpsstatic.com/images/full/a584-65cce6ef6d52d.png},,,,,,,,f,f,f,f,f,f,t,f,,,,,,,kolene-steel-plate-pack-810-4141,2026-04-10 12:48:05.291211+00,2026-04-10 12:48:05.291211+00
106492,04080468,04080468,TWD549ESBK8,PU,A,Triple Tree Conversion Kit - 49 mm - Black - 5° Rake - Elite Smooth,Triple Tree Conversion Kit - 49 mm - Black - 5° Rake - Elite Smooth,,ACCUTRONIX,,,1076.95,1076.95,753.87,,f,f,9.75,3,2,0,0,1,0,t,15.700,10.750,12.500,12.500,EA,,US,,f,f,N,8708.80.1600,http://asset.lemansnet.com/z/LzAvMi83LzAyN0E5MDdELTI5NkEtNDI2NC04MTM4LUFFNjA0MTlFRDE1Mw==,{http://asset.lemansnet.com/z/LzAvMi83LzAyN0E5MDdELTI5NkEtNDI2NC04MTM4LUFFNjA0MTlFRDE1Mw==},,,,,,,,f,f,f,f,f,f,t,f,TWD549-ESBK8,FGVW,0408-0468,0,0,2025-08-18,triple-tree-conversion-kit-49-mm-black-5-rake-elite-smooth-04080468,2026-04-10 12:48:23.612486+00,2026-04-10 12:48:23.612486+00
125290,09402215,09402215,2986210003,PU,A,XPOWER KIT YZF BLUE,,,ACERBIS,,,76.95,69.95,50.29,,f,f,9.75,0,0,0,0,0,0,f,1.200,3.250,13.500,9.750,KT,8052796956018,IT,,f,f,N,8714.10.0050,,,,,,,,,,f,f,f,f,f,f,t,f,2986210003,,,0,0,2024-08-26,xpower-kit-yzf-blue-09402215,2026-04-10 12:48:32.706294+00,2026-04-10 12:48:32.706294+00
106509,04100125,04100125,221053,PU,A,Steering Stem Bearing - Triumph,Steering Stem Bearing - Triumph,"{""Designed as a drop-in replacement to upgrade OEM ball-type bearings to taper bearings (where ball-type bearings are used by the OEM)"",""Designed as a replacement taper bearing seat (where taper bearings are original equipment)"",""Kits come complete with both upper and lower taper bearing cups and cones and seals (both top and bottom seals are included in most kits)"",""Tapered roller bearings decrease maintenance along with less wear and longer life""}",ALL BALLS,,,59.95,50.49,32.40,,f,f,9.75,5,3,0,0,2,0,t,1.010,2.670,4.680,4.640,KT,,CN,,f,f,N,8483.20.8040,http://asset.lemansnet.com/z/LzcvQy9CLzdDQkQ4NkUwLTBDRDAtNDQ3MC1BNUE0LTY1Q0EwQzI0QTAyMw==,{http://asset.lemansnet.com/z/LzcvQy9CLzdDQkQ4NkUwLTBDRDAtNDQ3MC1BNUE0LTY1Q0EwQzI0QTAyMw==},,,,,,,{Triumph},f,f,f,f,f,f,t,f,22-1053,FGWR,0410-0125,0,0,2010-10-04,steering-stem-bearing-triumph-04100125,2026-04-10 12:48:23.612486+00,2026-04-10 12:48:23.612486+00
125295,09402222,09402222,M8CCC2,PU,E,Comp Cam Cover - Black - Finned - M8,Comp Cam Cover - Black - Finned - M8,"{""Low profile design bring in larger diameter headers even closer for extra ground clearance"",""Large breather fitting option allows for greater crankcase breathing"",""CNC Machined 6061 T-6 Billet Aluminum"",""Finned for additional cooling"",""Made in the USA""}",ALLOY ART,,,444.95,444.95,311.50,,f,t,9.75,11,7,0,2,1,1,t,1.800,2.500,13.000,11.000,EA,,US,,f,f,N,8714.10.0050,http://asset.lemansnet.com/z/LzYvMC81LzYwNUQ4NzQ4LTVCNzMtNEVCQi1CNkJCLUEyQ0QwNzg4QTFEMiwvMi8xL0EvMjFBOUE3OTUtOEFEMC00Q0Y5LUI4MEMtNkUwRTIyMTFERDJF,{http://asset.lemansnet.com/z/LzYvMC81LzYwNUQ4NzQ4LTVCNzMtNEVCQi1CNkJCLUEyQ0QwNzg4QTFEMiwvMi8xL0EvMjFBOUE3OTUtOEFEMC00Q0Y5LUI4MEMtNkUwRTIyMTFERDJF},,,,{M8},,,,t,f,f,t,t,f,t,f,M8CCC-2,FGWT,0940-2222,0,885,2025-01-14,comp-cam-cover-black-finned-m8-09402222,2026-04-10 12:48:32.706294+00,2026-04-10 12:48:32.706294+00
97636,010115555,010115555,2118356002008L,PU,A,Pista GP RR Helmet - Glossy Carbon - Large,Pista GP RR Helmet - Glossy Carbon - Large,"{""Accessories include: hydration system, interior customization kit (top crown pad, rear crown pad and cheek pads), tear-off kit and vent covers"",""Titanium Double D retention system"",Shell,""100% carbon fiber"",""Shell and 5-density expanded polystyrene (EPS) structure designed to minimize rotational accelerations (FIM homologated)"",""Collarbone safe profile"",Ventilation,""Two rear extractors and five front vents"",""Metal air vents and extractors"",Aerodynamics,""Race suit fitment"",""Detachable PRO Spoiler"",Interior,""2Dry: instant sweat absorption"",""3-piece adaptable crown pad fit"",""360° Adaptive fit"",""Cheek pads safety release system"",""Shalimar fabric cheek pads for soft and stable fit even at high speed"",""Elastic and breathable microfiber crown pad"",""Removable and washable interiors"",""Microsense: premium skin comfort"",""No stitches in sensitive areas"",""Removable nose guard and wind protector"",""Breathable neck roll fabric with elastic and waterproof inserts"",""Embracing neck roll profile"",""Sanitized, providing antibacterial protection"",Visor,""190° horizontal and 85° vertical field of view"",""5 mm thickness"",Anti-scratch,""Pinlock® 120 MaxVision™ included"",""Metal visor mechanism"",""Micro-opening system"",""Optic class 1"",""Extra Quick Release System (XQRS)"",""Visor lock system""}",AGV,,,1679.00,1599.95,1091.35,,f,t,9.75,20,20,0,0,1,0,t,6.750,11.500,18.000,11.750,EA,8051019605825,IT,,f,f,Y,6506.10.3030,http://asset.lemansnet.com/z/LzQvRi8xLzRGMUEwMjFCLTczNEMtNDExNS1CQURCLUZDRUUwRTQ4REQwQiwvQi83LzgvQjc4RUZDM0MtMTUwNS00ODMzLTg1QkItQjU4Qzc1REUxRUExLC9CLzAvRC9CMEQwMjhCQi03QUZCLTRDRkItQjhBMS0xNjUyNzNGQTY2NzEsL0UvMy8zL0UzMzkyRkNBLUFFOEMtNENDOC1CRTQ0LUI5MzdGMEE2MjVDMywvRS9DLzEvRUMxQjU1MzMtNjFFMy00MjlCLTg2Q0MtN0Y2QzJBMzEzMkY1LC9DL0IvQS9DQkE3RTNGMy0zMTE5LTRBQjQtQjI1QS1DNDBCRURGMzJGNjMsLzUvRC8wLzVEMDZCNDBELUM4MjctNEMyMC05OUY3LTAxNEY3REQ3MkEwMA==,{http://asset.lemansnet.com/z/LzQvRi8xLzRGMUEwMjFCLTczNEMtNDExNS1CQURCLUZDRUUwRTQ4REQwQiwvQi83LzgvQjc4RUZDM0MtMTUwNS00ODMzLTg1QkItQjU4Qzc1REUxRUExLC9CLzAvRC9CMEQwMjhCQi03QUZCLTRDRkItQjhBMS0xNjUyNzNGQTY2NzEsL0UvMy8zL0UzMzkyRkNBLUFFOEMtNENDOC1CRTQ0LUI5MzdGMEE2MjVDMywvRS9DLzEvRUMxQjU1MzMtNjFFMy00MjlCLTg2Q0MtN0Y2QzJBMzEzMkY1LC9DL0IvQS9DQkE3RTNGMy0zMTE5LTRBQjQtQjI1QS1DNDBCRURGMzJGNjMsLzUvRC8wLzVEMDZCNDBELUM4MjctNEMyMC05OUY3LTAxNEY3REQ3MkEwMA==},,,,,,,,f,f,f,f,f,f,t,f,2118356002008L,FGWK,0101-15555,0,0,2022-08-22,pista-gp-rr-helmet-glossy-carbon-large-010115555,2026-04-10 12:48:18.464522+00,2026-04-10 12:48:18.464522+00
135727,34041808,34041808,22230251036,PU,A,SMX-6 V3 Boots,SMX-6 V3 Boots,"{""Packed with a host of innovative safety and protective features, SMX-6 V3 is the ultimate track and performance riding all-rounder, and incorporates race-derived technology and materials to give riders a crucial performance edge on the track, and the street"",""Advanced microfiber upper construction for lightweight high performance protection against abrasion and superb levels of flexibility"",""Front flex and back flexion zones are constructed with textile over-injected with a soft Thermoplastic Polyurethane (TPU) for enhanced impact abrasion while also promoting a natural forwards and backwards movement"",""Alpinestars unique ankle brace protection system provides a bio-mechanical support and protection between the lateral top calf, the shin and ankle, for superior ankle articulation, while also limiting hyper-torsion, hyper-extension and hyper-flexion, as well as providing Achilles and ankle impact protection"",""Alpinestars Lace-Lock System is constructed from an advanced polymer resin for a guaranteed quick, precise and secure closure"",""Equipped with a TPU shifter zone for superior protection on the lower medial side"",""Strategically positioned, race-derived TPU shin plate protector delivers superior impact and abrasion resistance"",""Dual density TPU ankle protectors are strategically positioned between the upper and padded lining to provide the strategic protection in key areas"",""Replaceable, dual density TPU toe slider with screw-in assembly provides comprehensive protective coverage around the outer toe area while still being supremely flexible for walking comfort"",""Replaceable heel slider and external side heel slider are strategically positioned for optimum shock dissipation and absorption, while promoting sliding in the event of an accident""}",ALPINESTARS,,,349.95,299.95,262.50,,f,t,9.75,2,0,0,0,2,0,t,4.700,5.000,18.000,14.000,PR,8059347395548,VN,,f,f,N,6402.91.4010,http://asset.lemansnet.com/z/LzIvMi9BLzIyQTQwREUxLTM1MDctNDU3OC1BQzlFLTcwRjk3RTc1OUM4RSwvRS85LzQvRTk0QTUwNzQtN0MzQS00OUNGLUE5MjEtNUZCQTdENTBDMzg0LC9ELzgvNS9EODVERDZEOC1FRUMzLTQ5QzctOENFOS0xQzFEOUFENkIwNTc=,{http://asset.lemansnet.com/z/LzIvMi9BLzIyQTQwREUxLTM1MDctNDU3OC1BQzlFLTcwRjk3RTc1OUM4RSwvRS85LzQvRTk0QTUwNzQtN0MzQS00OUNGLUE5MjEtNUZCQTdENTBDMzg0LC9ELzgvNS9EODVERDZEOC1FRUMzLTQ5QzctOENFOS0xQzFEOUFENkIwNTc=},,,,,,,,f,f,f,f,f,f,t,f,2223025-10-36,,3404-1808,0,0,2023-12-01,smx-6-v3-boots-34041808,2026-04-10 12:48:39.467955+00,2026-04-10 12:48:39.467955+00
